brand,model,product_name,price,rating,shipping,url,Boost Clock ,Brand ,CUDA Cores ,Card Dimensions (L x H) ,Chipset Manufacturer ,Cooler ,Core Clock ,CrossFireX Support ,DVI ,Date First Available ,DirectX ,DisplayPort ,Dual-Link DVI Supported ,Edition ,Effective Memory Clock ,Eyefinity Support ,Features ,Form Factor ,GPU ,GPU Series ,HDCP Ready ,HDMI ,Interface ,Mantle Support ,Max GPU Length ,Max Resolution ,Memory Interface ,Memory Size ,Memory Type ,Model ,Multi-Monitor Support ,OpenGL ,Operating Systems Supported ,Option ,Package Contents ,Power Connector ,RoHS Compliant ,Series ,Slot Width ,Stream Processors ,System Requirements ,Thermal Design Power ,TrueAudio Support ,Virtual Reality Ready ,review_numbers,Length (mm),Height (mm)
GIGABYTE,RX 570,GIGABYTE Radeon RX 570 DirectX 12 GV-RX570GAMING-4GD REV2.0 4GB 256-Bit GDDR5 PCI Express 3.0 x16 ATX Video Card,$268.99 (2 Offers)–,4.0,Special Shipping,https://www.newegg.com/gigabyte-radeon-rx-570-gv-rx570gaming-4gd-rev2-0/p/N82E16814932242?Description=RX,NONE,GIGABYTE,NONE,"9.13"" x 4.57""",AMD,WINDFORCE 2X,1255 MHz (OC Mode) / 1244 MHz (Gaming Mode),NONE,NONE,18-May-20,DirectX 12,3 x DisplayPort,NONE,NONE,7000 MHz,NONE,Powered by Radeon RX 570WINDFORCE 2X with 90mm Blade Fan DesignUltra Durable MaterialsIntuitive AORUS Engine,ATX,Radeon RX 570,AMD Radeon RX 500 Series,NONE,1 x HDMI,PCI Express 3.0 x16,NONE,232 mm,7680 x 4320,256-Bit,4GB,GDDR5,GV-RX570GAMING-4GD REV2.0,4,OpenGL 4.5,NONE,NONE,Accessories:Graphics card quick guideDriver CD,8-Pin,NONE,NONE,Dual Slot,2048 Stream Processors,System PSU Limitation: 450W,225W,NONE,Yes,3 (100% Positive),231.90200000000002,116.078
GIGABYTE,RX 570,GIGABYTE Radeon RX 570 DirectX 12 GV-RX570GAMING-4GD REV2.0 4GB 256-Bit GDDR5 PCI Express 3.0 x16 ATX Video Card,$151.99 –,,Free Shipping,https://www.newegg.com/gigabyte-radeon-rx-570-gv-rx570gaming-4gd-rev2-0/p/N82E16814932242R?Description=RX,NONE,GIGABYTE,NONE,"9.13"" x 4.57""",AMD,WINDFORCE 2X,1255 MHz (OC Mode) / 1244 MHz (Gaming Mode),NONE,NONE,13-Apr-20,DirectX 12,3 x DisplayPort,NONE,NONE,7000 MHz,NONE,Powered by Radeon RX 570WINDFORCE 2X with 90mm Blade Fan DesignUltra Durable MaterialsIntuitive AORUS Engine,ATX,Radeon RX 570,AMD Radeon RX 500 Series,NONE,1 x HDMI,PCI Express 3.0 x16,NONE,232 mm,7680 x 4320,256-Bit,4GB,GDDR5,GV-RX570GAMING-4GD REV2.0,4,OpenGL 4.5,NONE,NONE,NONE,8-Pin,NONE,NONE,Dual Slot,2048 Stream Processors,System PSU Limitation: 450W,225W,NONE,Yes,0 reviews,231.90200000000002,116.078
MSI,RX 570,MSI Radeon RX 570 DirectX 12 RX 570 ARMOR 8G OC 8GB 256-Bit GDDR5 PCI Express x16 HDCP Ready CrossFireX Support ATX Video Card,$179.99 (12 Offers)–,3.0,Free Shipping,https://www.newegg.com/msi-radeon-rx-570-rx-570-armor-8g-oc/p/N82E16814137256?Description=RX,1268 MHz,MSI,NONE,"9.69"" x 5.12""",AMD,Double Fans,NONE,"Crossfire, 2-Way (Bridgeless)",1 x DL-DVI-D,26-Oct-20,DirectX 12,3 x DisplayPort,Yes,NONE,7000 MHz,NONE,"TORX Fan- Dispersion fan blade: Steep curved blade accelerating the airflow.- Traditional fan blade: Provides steady airflow to massive heat sink below.Zero Frozr: Stopping the fan in low-load situations, keeping a noise-free environment.Advanced Airflow Control technology: Improves cooling efficiency by using advanced aerodynamics to focus airflow.Afterburner Overclocking UtilityWireless control through Android/iOS devices.Predator: In-game video recording.Kombustor: built-in DirectX12 benchmark.Supports multi-GPU setups.All Solid Capacitors10 years long lifetime under full load.Lower temperature and higher efficiency.Aluminum core for higher stability.",ATX,Radeon RX 570,AMD Radeon RX 500 Series,Yes,1 x HDMI,PCI Express x16,NONE,246 mm,NONE,256-Bit,8GB,GDDR5,RX 570 ARMOR 8G OC,5,OpenGL 4.5,NONE,NONE,NONE,8-Pin,NONE,NONE,Dual Slot,2048 Stream Processors,Recommended PSU: 450W,150W,NONE,Yes,400 (90% Positive),246.12599999999998,130.048
XFX,RX 570,XFX Radeon RX 570 Black Edition DirectX 12 RX-570P8DBD6 8GB 256-Bit DDR5 PCI Express 3.0 CrossFireX Support Video Card,$219.99 (1 Offers)–,4.0,Free Shipping,https://www.newegg.com/xfx-radeon-rx-570-rx-570p8dbd6/p/1DW-000W-00028?Description=RX,NONE,XFX,NONE,"9.57"" x 4.88""",AMD,Double Fans,1328 MHz,Yes,1 x DL-DVI-D,6-Nov-18,DirectX 12,3 x DisplayPort 1.4,Yes,NONE,7.0 GHz,Yes,Microsoft Windows 10 SupportMicrosoft DirectX 12 SupportFinFET 14nm TechnologyGCN 4th Generation ArchitectureAMD Virtual Super Resolution (VSR)AMD ReliveAMD ChillAMD LiquidVR TechnologyAMD FreeSync 2 TechnologyAMD Frame Rate Target Control (FRTC)AMD CrossFire technologyAMD Eyefinity multi-display technologyAMD App AccelerationAMD TrueAudio TechnologyAMD XConnect ReadyAMD Radeon Crimson SoftwareAMD WattManAMD APP AccelerationDolby TrueHD and DTS-HD Master Audio SupportUp to 6 displays supported (may require the use of MST Hubs)Vulkan and Mantle Ready. Next Generation APIsOpenCL Support,ATX,Radeon RX 570,AMD Radeon RX 500 Series,NONE,1 x HDMI 2.0b,PCI Express 3.0,Yes,243 mm,4096 x 2160,256-Bit,8GB,DDR5,RX-570P8DBD6,6,OpenGL 4.5,NONE,NONE,NONE,8-Pin,NONE,NONE,Dual Slot,2048 Stream Processors,Minimum Power Supply Requirement: 500WXFX Recommended Power Supply: XFX 550W PSU,225W,Yes,Yes,-6,243.078,123.95199999999998
Sapphire,RX 570,"Sapphire NITRO+ Radeon RX 570 8GB GDDR5 PCI-E Dual HDMI / DVI-D / Dual DP w/ Backplate (UEFI), 100412NT+8GL",$239.99 –,4.0,Free Shipping,https://www.newegg.com/sapphire-radeon-rx-570-100412nt-8gl/p/N82E16814202282?Description=RX,1340 MHz,SAPPHIRE,NONE,"10.24"" x 5.31""",AMD,Double Fans,NONE,Yes,1 x DL-DVI-D,9-Dec-18,DirectX 12,2 x DisplayPort 1.4,Yes,NONE,"Up to 1750 MHz, Effective 7000 Mbps",Yes,HDR Ready Vulkan OptimizedRadeon Freesync 2 ReadyNext Gen FinFET 14 Technology 4th Generation GCN Architecture OpenCL SupportHDMI 4K60 / Display Port 1.4AMD CrossFire technology (bridgeless) - up to 2 GPUs Radeon XConnect technology Compatible with AMD and Intel Platforms Sapphire Dual-X Cooling TechnologyIntelligent Fan Control IIIPrecision Fan ControlFuse ProtectionLong-life CapacitorTri-XX SupportedBlack Diamond Choke 4thFan Quick Connect,ATX,Radeon RX 570,AMD Radeon RX 500 Series,NONE,2 x HDMI,PCI Express 3.0,NONE,260 mm,HDMI: 4096 x 2160 @ 60 HzDisplayPort 1.4: 5120 x 2880 @ 60 HzDL-DVI-D: 2560 x 1600 @ 60 Hz,256-Bit,8GB,GDDR5,100412NT+8GL,5,OpenGL 4.5,"Supported operating systems include Windows 10, and Windows 7. 64-bit operating system required.",NONE,ACCESSORIES:Driver DVD,1 x 8-pin + 1 x 6-pin,NONE,NITRO+,2.2 slots,2048 Stream Processors,PCI Express compliant motherboard with one x16 graphics slot.500W (or greater) power supply.Minimum 4GB of system memory. Recommended 8GB. See amd.com/VR ready for more information.,225W,NONE,Yes,0 reviews,260.096,134.874
MSI,RX 570,MSI Radeon RX 570 DirectX 12 RX 570 ARMOR MK2 8G OC 8GB 256-Bit GDDR5 PCI Express x16 HDCP Ready CrossFireX Support Video Card,$611.99 –,4.0,Free Shipping,https://www.newegg.com/msi-radeon-rx-570-rx-570-armor-mk2-8g-oc/p/N82E16814137291?Description=RX,1281 MHz (OC Mode)1268 MHz (Gaming Mode)1244 MHz (Slient Mode),MSI,NONE,"10.63"" x 5.12""",AMD,Double Fans,NONE,"Crossfire, 2-Way (Bridgeless)",1 x DL-DVI-D,2-Apr-19,DirectX 12,2 x DisplayPort,Yes,NONE,7000 MHz,NONE,"TORX 2.0 FAN: Supremely silentDispersion fan blade: Steeper curved blade accelerating the airflow.Traditional fan blade: Provides steady airflow to massive heat sink below.Double ball bearing: Strong and lasting core for years of smooth gaming.Afterburner Overclocking UtilityWireless control through Android/iOS devices.Predator: In-game video recording.Supports multi-GPU setups.Military Class 4 ComponentsCertified to MIL-STD-810G standards for top stability and quality.Built with Hi-c CAP, Solid CAP, and New SFC components.",NONE,Radeon RX 570,AMD Radeon RX 500 Series,Yes,2 x HDMI,PCI Express x16,NONE,270 mm,NONE,256-Bit,8GB,GDDR5,RX 570 ARMOR MK2 8G OC,4,OpenGL 4.5,NONE,NONE,NONE,8-Pin,NONE,NONE,Dual Slot,2048 Stream Processors,Recommended PSU: 450W,150W,NONE,Yes,-119,270.002,130.048
PowerColor,RX 570,PowerColor RED DRAGON Radeon RX 570 DirectX 12 AXRX 570 4GBD5-3DHD/OC 4GB 256-Bit GDDR5 PCI Express 3.0 CrossFireX Support ATX Video Card,$228.98 (2 Offers)–,4.0,Free Shipping,https://www.newegg.com/powercolor-radeon-rx-570-axrx-570-4gbd5-3dhd-oc/p/N82E16814131717?Description=RX,1250 MHz,PowerColor,NONE,"10.04"" x 5.39""",AMD,Double Fans,NONE,Yes,1 x DL-DVI-D,29-Sep-20,DirectX 12,3 x DisplayPort,Yes,NONE,4 x 1750 MHz (7.0 Gbps),Yes,Advanced GDDR5 Memory TechnologyAMD App AccelerationAMD CrossFire TechnologyAMD Eyefinty TechnologyAMD HD Media AcceleratorAMD HD3D TechnologyAMD PowerPlay TechnologyAMD PowerTune TechnologyAMD XConnect ReadyGCN ArchitectureHDMIMicrosoft DirextX 12Microsoft Windows 10 SupportMicrosoft Windows 7 SupportMute Fan TechnologyPCI Express 3.0Premium VR ReadyRadeon ChillRadeon ReLiveUEFI SupportVirtual Super Resolution,ATX,Radeon RX 570,AMD Radeon RX 500 Series,NONE,1 x HDMI,PCI Express 3.0,NONE,255 mm,DVI: 2560x1600DisplayPort: 4096x2160HDMI: 4096x2160,256-Bit,4GB,GDDR5,AXRX 570 4GBD5-3DHD/OC,NONE,OpenGL 4.5,NONE,NONE,ACCESSORY:ManualDriver (PCIE),8-Pin,NONE,RED DRAGON,Dual Slot,2048 Stream Processors,Minimum System Power Requirement: 450W,225W,NONE,Yes,40 (60% Positive),255.01599999999996,136.90599999999998
XFX,RX 570,XFX RS XXX Edition Radeon RX 570 DirectX 12 RX-570P427D6 4GB OC+ 1284 MHz XFX Custom Backplate 256-Bit DDR5 PCI Express 3.0 CrossFireX Support Video Card,$201.13 (3 Offers)–,4.0,Free Shipping,https://www.newegg.com/xfx-radeon-rx-570-rx-570p427d6/p/N82E16814150795?Description=RX,NONE,XFX,NONE,"9.57"" x 4.88""",AMD,Double Fans,1284 MHz (OC+ Capable Clock)1264 MHz (XFX True Clock)1168 MHz (AMD Reference),Yes,1 x DL-DVI-D,10-Aug-20,DirectX 12,3 x DisplayPort 1.4,Yes,NONE,AMD Reference: 7.0 GHzXFX True Clock: 7.0 GHzOC+ Capable Clock: 7.1 GHz,Yes,3 Years with Registration at XFXMicrosoft Windows 10 SupportMicrosoft DirectX 12 SupportFinFET 14nm TechnologyGCN 4th Generation ArchitectureAMD Virtual Super Resolution (VSR)AMD ReliveAMD ChillAMD LiquidVR TechnologyAMD FreeSync 2 TechnologyAMD Frame Rate Target Control (FRTC)AMD CrossFire technologyAMD Eyefinity multi-display technologyAMD App AccelerationAMD TrueAudio TechnologyAMD XConnect ReadyAMD Radeon Crimson SoftwareAMD WattManAMD APP AccelerationHDMI 2.0bDisplayport 1.4Dolby TrueHD and DTS-HD Master Audio SupportPCI Express 3.0Up to 6 displays supported (may require the use of MST Hubs)Advanced GDDR5 Memory TechnologyVulkan and Mantle Ready. Next Generation APIsOpenGL 4.5 SupportOpenCL Support,NONE,Radeon RX 570,AMD Radeon RX 500 Series,NONE,1 x HDMI 2.0b,PCI Express 3.0,NONE,243 mm,4096 x 2160,256-Bit,4GB,DDR5,RX-570P427D6,NONE,OpenGL 4.5,NONE,NONE,Accessories:1 x 8-pin to 6-pin power cable1 x Driver Disk Installation Guide1 x Installation DVD,8-Pin,Yes,NONE,Dual Slot,2048 Stream Processors,Minimum Power Supply Requirement: 500WXFX Recommended Power Supply: XFX 550W PSU,150W,NONE,Yes,441 (84% Positive),243.078,123.95199999999998
Sapphire,RX 570,SAPPHIRE PULSE Radeon RX 570 DirectX 12 11266-66-20G 8GB 256-Bit GDDR5 PCI Express 3.0 CrossFireX Support Video Card,$299.40 (2 Offers)–,4.0,Free Shipping,https://www.newegg.com/sapphire-radeon-rx-570-11266-66-20g/p/N82E16814202363?Description=RX,1284 MHz,SAPPHIRE,NONE,"9.06"" x 4.92""",AMD,Double Fans,NONE,Yes,NONE,1-Jan-20,DirectX 12,2 x DisplayPort 1.4,NONE,NONE,7000 MHz,Yes,Sapphire Features:Dual-X CoolingLong Life Dual Ball Bearing FansIntelligent Fan Control IIIQuick Connect SystemLong Life CapacitorBack plateBlackDiamond 4 ChokesFuse protection AMD Features:Radeon VR Ready PremiumRadeon SoftwareRadeon FreeSync TechnologyAMD LiquidVR Technology4th Gen GCN ArchitectureRadeon ChillRadeon ReLive DirectX 12 TechnologyAMD Eyefinity Technology (Gaming)AMD App AccelerationAMD CrossFire TechnologyAMD CrossFire (Bridgeless)3rd Gen 14nm Process TechnologyOpenCL 2.0OpenGL 4.5AMD PowerTune TechnologyTrueAudio NextUnified Video Decoder (UVD)Video Code Engine (VCE)Virtual Super ResolutionThe Vulkan API,NONE,Radeon RX 570,AMD Radeon RX 500 Series,NONE,2 x HDMI,PCI Express 3.0,NONE,230 mm,DisplayPort: 5120x2880@60HzHDMI: 4096x2160@60Hz,256-Bit,8GB,GDDR5,11266-66-20G,4,OpenGL 4.5,"Windows 10, Windows 7, 64-bit operating system required",NONE,NONE,8-Pin,NONE,PULSE,Dual Slot,2048 Stream Processors,500-Watt or greater power supply (Recommended)1 x 8-pin Power ConnectorPCI Express compliant motherboard with one x16 graphics slot,<180W,NONE,Yes,247 (72% Positive),230.124,124.96799999999999
ASUS,RX 570,ASUS ROG Strix Radeon RX 570 O4G Gaming OC Edition GDDR5 DP HDMI DVI VR Ready AMD Graphics Card (ROG-STRIX-RX570-O4G-GAMING),$318.99 (1 Offers)–,4.0,$10.99 Shipping,https://www.newegg.com/asus-radeon-rx-570-rog-strix-rx570-o4g-gaming/p/N82E16814126189?Description=RX,1310 MHz (OC mode)1300 MHz (Gaming mode),ASUS,NONE,"9.45"" x 5.08""",AMD,Double Fans,NONE,Yes,2 x DVI-D,9-Dec-19,NONE,1 x DisplayPort 1.4,NONE,NONE,7000 MHz,Yes,"""1310 MHz boost clock (OC Mode) for 7% performance improvement over referenceASUS Aura Sync RGB lighting features a nearly endless spectrum of colors with the ability to synchronize effects across an ever-expanding ecosystem of AURA Sync enabled productsDirectCU II with unique wing-blade fans on 0db fan technology delivers 30% cooler and 3X quieter performance contact with direct-GPU contact heatpipesEasily monitor and control your GPUs performance and cooling with the intuitive GPU Tweak II interface and FanConnect II for GPU and CPU temperature sensingAuto-Extreme manufacturing technology delivers premium quality and reliability with aerospace-grade Super Alloy Power II components""",NONE,Radeon RX 570,AMD Radeon RX 500 Series,Yes,1 x HDMI 2.0b,PCI Express 3.0,NONE,240 mm,5120 x 2880,256-Bit,4GB,GDDR5,ROG-STRIX-RX570-O4G-GAMING,NONE,OpenGL 4.5,NONE,NONE,Accessories:2 x ROG Cable Ties2 x Orange Color Decals1 x CD1 x Quick Guide,8-Pin,NONE,ROG Strix,Dual Slot,2048 Stream Processors,NONE,150W,NONE,Yes,-49,240.02999999999997,129.03199999999998
XFX,RX 570,XFX Radeon RX 570 DirectX 12 RX-570P8DFD6 8GB 256-Bit DDR5 PCI Express 3.0 CrossFireX Support Video Card,,4.0,Free Shipping,https://www.newegg.com/xfx-radeon-rx-570-rx-570p8dfd6/p/N82E16814150815?Description=RX,NONE,XFX,NONE,"9.57"" x 4.88""",AMD,Double Fans,1286 MHz,Yes,1 x DL-DVI-D,6-Nov-18,DirectX 12,3 x DisplayPort 1.4,Yes,NONE,7.0 GHz,Yes,Microsoft Windows 10 SupportFinFET 14nm TechnologyGCN 4th Generation ArchitectureAMD Virtual Super Resolution (VSR)AMD ReliveAMD ChillAMD LiquidVR TechnologyAMD FreeSync 2 TechnologyAMD Frame Rate Target Control (FRTC)AMD Eyefinity multi-display technologyAMD App AccelerationAMD TrueAudio TechnologyAMD XConnect ReadyAMD Radeon Crimson SoftwareAMD WattManAMD APP AccelerationDolby TrueHD and DTS-HD Master Audio SupportUp to 6 displays supported (may require the use of MST Hubs)Advanced GDDR5 Memory TechnologyVulkan and Mantle Ready. Next Generation APIsOpenCL Support,NONE,Radeon RX 570,AMD Radeon RX 500 Series,NONE,1 x HDMI 2.0b,PCI Express 3.0,Yes,243 mm,4096 x 2160,256-Bit,8GB,DDR5,RX-570P8DFD6,NONE,OpenGL 4.5,NONE,NONE,Accessories:8-pin to 6-pin power cableDriver Disk Installation GuideInstallation DVD,8-Pin,NONE,NONE,Dual Slot,2048 Stream Processors,Minimum Power Supply Requirement: 500 wattsXFX Recommended Power Supply: XFX 550W PSU,150W,Yes,Yes,"1,318 (80% Positive)",243.078,123.95199999999998
GIGABYTE,RX 570,GIGABYTE Radeon RX 570 DirectX 12 GV-RX570GAMING-4GD 4GB 256-Bit GDDR5 PCI Express 3.0 x16 CrossFireX Support ATX Video Card,$179.99 –,4.0,Free Shipping,https://www.newegg.com/gigabyte-radeon-rx-570-gv-rx570gaming-4gd/p/N82E16814125966?Description=RX,NONE,GIGABYTE,NONE,"9.13"" x 4.57""",AMD,WINDFORCE 2X,1255 MHz (OC Mode) / 1244 MHz (Gaming Mode),Yes,1 x Dual-Link DVI-D,30-Nov-18,DirectX 12,3 x DisplayPort 1.4,Yes,NONE,7000 MHz,Yes,Powered by Radeon RX 570WINDFORCE 2X with 90mm Blade Fan DesignRGB Fusion 2.0 - synchronize with other AORUS devicesStylish Metal Back PlateIntuitive AORUS Graphics Engine,ATX,Radeon RX 570,AMD Radeon RX 500 Series,NONE,1 x HDMI 2.0,PCI Express 3.0 x16,NONE,232 mm,7680 x 4320,256-Bit,4GB,GDDR5,GV-RX570GAMING-4GD,5,OpenGL 4.5,NONE,NONE,Accessories:Graphics card quick guideDriver CD,8-Pin,NONE,NONE,Dual Slot,2048 Stream Processors,System PSU Limitation: 450W,150W,NONE,Yes,0 reviews,231.90200000000002,116.078
