brand,model,product_name,price,rating,shipping,url,Boost Clock ,Brand ,CUDA Cores ,Card Dimensions (L x H) ,Chipset Manufacturer ,Cooler ,Core Clock ,CrossFireX Support ,DVI ,Date First Available ,DirectX ,DisplayPort ,Dual-Link DVI Supported ,Edition ,Effective Memory Clock ,Eyefinity Support ,Features ,Form Factor ,GPU ,GPU Series ,HDCP Ready ,HDMI ,Interface ,Mantle Support ,Max GPU Length ,Max Resolution ,Memory Interface ,Memory Size ,Memory Type ,Model ,Multi-Monitor Support ,OpenGL ,Operating Systems Supported ,Option ,Package Contents ,Power Connector ,RoHS Compliant ,Series ,Slot Width ,Stream Processors ,System Requirements ,Thermal Design Power ,TrueAudio Support ,Virtual Reality Ready ,review_numbers,Length (mm),Height (mm)
XFX,RX 570,XFX Radeon RX 570 8GB DirectX 12 RX-570P8DFD6 256-Bit DDR5 PCI Express 3.0 CrossFireX Support Video Graphics Card,$269.99 –,,Free Shipping,https://www.newegg.com/xfx-radeon-rx-570-rx-570p8dfd6/p/27N-0002-000G4?Description=RX,NONE,XFX,NONE,"9.57"" x 4.88""",AMD,Double Fans,1286 MHz,Yes,1 x DL-DVI-D,22-Mar-20,DirectX 12,3 x DisplayPort 1.4,Yes,NONE,7.0 GHz,Yes,NONE,NONE,Radeon RX 570,AMD Radeon RX 500 Series,NONE,1 x HDMI 2.0b,PCI Express 3.0,Yes,243 mm,4096 x 2160,256-Bit,8GB,DDR5,RX-570P8DFD6,6,OpenGL 4.5,NONE,NONE,Accessories: 8-pin to 6-pin power cable Driver Disk Installation Guide Installation DVD,8-Pin,NONE,NONE,Dual Slot,2048 Stream Processors,Minimum Power Supply Requirement: 500 watts XFX Recommended Power Supply: XFX 550W PSU,225W,Yes,Yes,"2,687 (88% Positive)",243.078,123.95199999999998
PowerColor,RX 570,PowerColor Radeon RX 570 DirectX 12 AXRX 570 8GBD5-DMV3 8GB 256-Bit GDDR5 PCI Express 3.0 CrossFireX Support ATX Cryptocurrency Video Card - Brown Box (Only Comes with Driver + Manual),$289.00 –,3.0,Free Shipping,https://www.newegg.com/powercolor-radeon-rx-570-axrx-570-8gbd5-dmv3/p/N82E16814131736?Description=RX,1105 MHz,PowerColor,NONE,NONE,AMD,Double Fans,NONE,YES (Software CrossFire),1 x DL-DVI-D,18-Jun-19,DirectX 12,NONE,Yes,NONE,1850 MHz (7.4 Gbps),NONE,NONE,ATX,Radeon RX 570,AMD Radeon RX 500 Series,NONE,NONE,PCI Express 3.0,NONE,NONE,NONE,256-Bit,8GB,GDDR5,AXRX 570 8GBD5-DMV3,NONE,OpenGL 4.5,NONE,NONE,NONE,8-Pin,NONE,NONE,Dual Slot,2048 Stream Processors,Minimum System Power Requirement: 450W,225W,NONE,NONE,-14,0.0,0.0
PowerColor,RX 570,PowerColor Radeon RX 570 DirectX 12 AXRX 570 8GBD5-DMV3 8GB 256-Bit GDDR5 PCI Express 3.0 CrossFireX Support ATX Cryptocurrency Video Card - Brown Box (Only Comes with Driver + Manual),$254.99 –,1.0,$4.19 Shipping,https://www.newegg.com/powercolor-radeon-rx-570-axrx-570-8gbd5-dmv3/p/N82E16814131736R?Description=RX,1105 MHz,PowerColor,NONE,NONE,AMD,Double Fans,NONE,YES (Software CrossFire),1 x DL-DVI-D,6-Apr-18,DirectX 12,NONE,Yes,NONE,1850 MHz (7.4 Gbps),NONE,NONE,ATX,Radeon RX 570,AMD Radeon RX 500 Series,NONE,NONE,PCI Express 3.0,NONE,NONE,NONE,256-Bit,8GB,GDDR5,AXRX 570 8GBD5-DMV3,NONE,OpenGL 4.5,NONE,NONE,NONE,8-Pin,NONE,NONE,Dual Slot,2048 Stream Processors,Minimum System Power Requirement: 450W,225W,NONE,NONE,0 reviews,0.0,0.0
MSI,RX 570,MSI Radeon RX 570 DirectX 12 RX 570 ARMOR 8G OC 8GB 256-Bit GDDR5 PCI Express x16 HDCP Ready CrossFireX Support ATX Video Card,$237.99 (2 Offers)–,,Free Shipping,https://www.newegg.com/msi-radeon-rx-570-rx-570-armor-8g-oc/p/27N-0023-000U4?Description=RX,NONE,MSI,NONE,"9.69"" x 5.12""",AMD,Double Fans,1268 MHz,"Crossfire, 2-Way (Bridgeless)",1 x DL-DVI-D,1-May-20,DirectX 12,3 x DisplayPort,Yes,NONE,7000 MHz,Yes,NONE,ATX,Radeon RX 570,AMD Radeon RX 500 Series,Yes,1 x HDMI,PCI Express x16,NONE,246 mm,NONE,256-Bit,8GB,GDDR5,RX 570 ARMOR 8G OC,5,OpenGL 4.5,NONE,NONE,NONE,8-Pin,NONE,NONE,Dual Slot,2048 Stream Processors,Recommended PSU: 450W,225W,NONE,Yes,"2,687 (88% Positive)",246.12599999999998,130.048
Corn,RX 570,CORN AMD Radeon RX 570 Graphic Card Video Card GPU 4GB 256-Bit GDDR5 PCI Express x16 HDCP DirectX12 DVI-D/DP/HDMI,$823.99 –,,Free Shipping,https://www.newegg.com/p/27N-003A-00001?Description=RX,NONE,Corn Electronics,2048,NONE,AMD,Double Fans,1244MHz,NONE,1 x DVI,11-Feb-19,DirectX 12,1 x DisplayPort,NONE,Air Cooler,NONE,NONE,NONE,NONE,Radeon RX 570,AMD Radeon RX 500 Series,NONE,1 x HDMI,PCI Express 3.0 x16,NONE,240mm,7680 x 4320,256-Bit,4GB,GDDR5,NONE,NONE,NONE,NONE,RX570 XXX Edition,NONE,NONE,NONE,NONE,Dual Slot,NONE,NONE,225W,NONE,NONE,0 reviews,0.0,0.0
Sapphire,RX 570,Sapphire 11266-04-20G Radeon PULSE RX 570 4GB GDDR5 DUAL HDMI / DVI-D / DUAL DP OC with backplate (UEFI) PCI-E Graphics Card,$499.95 –,3.0,Free Shipping,https://www.newegg.com/sapphire-radeon-rx-570-11266-04-20g/p/1FT-000B-000D5?Description=RX,1284 MHz,SAPPHIRE,NONE,"9.06"" x 4.92""",AMD,Double Fans,NONE,Yes,1 x DL-DVI-D,6-Feb-18,DirectX 12,2 x DisplayPort 1.4,Yes,NONE,"1750 MHz, 7000 MHz Effective",Yes,FreeSync TechnologyAMD Xconnect readyDirectX 12 OptimizedHDR ReadyFrame Rate Target ControlNITRO Quick Connect systemIntelligent Fan Control IIIBlack Diamond Choke 4Fuse protectionRadeon ChillRadeon Relive,NONE,Radeon RX 570,AMD Radeon RX 500 Series,NONE,2 x HDMI,NONE,NONE,230 mm,5120 x 2880,256-Bit,4GB,GDDR5,11266-04-20G,5,OpenGL 4.5,Windows 10Windows 7,NONE,NONE,NONE,NONE,PULSE,Dual Slot,2048 Stream Processors,Power Consumption: <180W500-Watt Power Supply (Suggestion)1 x 8-pin AUX Power ConnectorBlue-ray / HD DVD playback requires Blu-ray / HD DVD drivePCI Express 2.0 or higher version based PC is required with one X16 lane graphics slot available on the motherboard in order for the card to be compatible with,225W,NONE,Yes,-2,230.124,124.96799999999999
Sapphire,RX 570,SAPPHIRE PULSE Radeon RX 570 DirectX 12 11266-36-20G 8GB 256-Bit GDDR5 PCI Express 3.0 CrossFireX Support Video Cards,$399.90 –,2.0,Free Shipping,https://www.newegg.com/sapphire-radeon-rx-570-11266-36-20g/p/27N-0005-000P2?Description=RX,1284 MHz,SAPPHIRE,NONE,"9.06"" x 4.92""",AMD,Double Fans,NONE,Yes,1 x Dual Link DVI-D,21-Feb-19,DirectX 12,2 x DisplayPort,Yes,NONE,"1750 MHz, 7000 MHz Effective",Yes,FreeSync TechnologyQuad HD Display (4K*2K Support)AMD Xconnect readyHDR ReadyFrame Rate Target ControlNITRO Fan CheckNITRO Quick Connect systemIntelligent Fan Control IIIBlack Diamond Choke 4Radeon ChillRadeon Relive,NONE,Radeon RX 570,AMD Radeon RX 500 Series,NONE,2 x HDMI,PCI Express 3.0,NONE,230 mm,5120 x 2880,256-Bit,8GB,GDDR5,11266-36-20G,5,OpenGL 4.5,Windows 10Windows 7,NONE,NONE,8-Pin,NONE,PULSE,Dual Slot,2048 Stream Processors,Power Consumption: <180W500-Watt Power Supply (Suggestion)1 x 8-pin AUX Power ConnectorCD-ROM or DVD-ROM drive for installing softwarePCI Express 2.0 or higher version based PC is required with one X16 lane graphics slot available on the motherboard in order for the card to be compatible with,225W,NONE,NONE,-1,230.124,124.96799999999999
AMD,RX 570,AMD Radeon RX 570 4GB GDDR5 PCI Express 3.0 Gaming Graphics Card - OEM,$779.99 –,,Free Shipping,https://www.newegg.com/amd-radeon-rx-570/p/27N-0018-00089?Description=RX,NONE,AMD,NONE,NONE,AMD,Single Fan,1206 MHz,NONE,NONE,16-Oct-18,NONE,NONE,NONE,Air Cooler,NONE,NONE,NONE,NONE,Radeon RX 570,NONE,NONE,NONE,PCI Express 3.0,NONE,NONE,NONE,NONE,4GB,NONE,RX 570,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Radeon,NONE,NONE,NONE,225W,NONE,NONE,0 reviews,0.0,0.0
ASRock,RX 570,ASRock Phantom Gaming X Radeon RX 570 DirectX 12 RX570 4G OC 4GB 256-Bit GDDR5 PCI Express 3.0 x16 HDCP Ready Video Card,$209.98 –,3.0,Free Shipping,https://www.newegg.com/asrock-radeon-rx-570-rx570-4g-oc/p/N82E16814930004?Description=RX,NONE,ASRock,NONE,"10.98"" x 4.99""",AMD,Double Fans,OC Mode: 1331 MHzDefault Mode: 1280 MHz Silent Mode: 1228 MHz,NONE,1 x Dual-link DVI-D,19-Feb-19,DirectX 12,3 x DisplayPort 1.4,Yes,NONE,OC Mode: 7028 MHzDefault Mode: 7000 MHzSilent Mode: 6972 MHz,NONE,"Double Ball Bearings Fan DesignHigh Performance Composite HeatpipesSupport 8K ResolutionGraphic Outputs: 3 DisplayPort, HDMI, DVIPhantom Gaming Tweak UtilityTemperature and Fan Speed MonitoringCore / Memory Clock TweakCore / Memory Voltage Tweak",NONE,Radeon RX 570,AMD Radeon RX 500 Series,Yes,1 x HDMI 2.0,PCI Express 3.0 x16,NONE,279 mm,7680 x 4320,256-Bit,4GB,GDDR5,RX570 4G OC,5,OpenGL 4.5,NONE,NONE,Accessories- 1 x Support CD- 1 x Quick Installation Guide,8-Pin,NONE,Phantom Gaming X,Dual Slot,2048 Stream Processors,NONE,150W,NONE,Yes,-14,278.892,126.746
MSI,RX 570,MSI Radeon RX 570 DirectX 12 RX 570 ARMOR 4G OC 4GB 256-Bit GDDR5 PCI Express 3.0 x16 HDCP Ready CrossFireX Support ATX Video Card,$269.00 –,3.0,Free Shipping,https://www.newegg.com/msi-radeon-rx-570-rx-570-armor-4g-oc/p/N82E16814137123?Description=RX,1268 MHz,MSI,NONE,"9.69"" x 5.12""",AMD,Double Fans,NONE,"Crossfire, 2-Way (Bridgeless)",1 x DVI-D,10-Apr-18,DirectX 12,3 x DisplayPort,NONE,NONE,7000 MHz,Yes,"Armor 2X Thermal Design- TORX Fan:Dispersion fan blade: Steep curved blade accelerating the airflow.Traditional fan blade: Provides steady airflow to massive heat sink below.- Zero Frozr: Stopping the fan in low-load situations, keeping a noise-free environment.- Advanced Airflow Control technology: Improves cooling efficiency by using advanced aerodynamics to focus airflow.Afterburner Overclocking Utility- Wireless control through Android/iOS devices.- Predator: In-game video recording.- Kombustor: DirectX12 benchmark.- Supports multi-GPU setups.All Solid Capacitors- 10 years long lifetime under full load.- Lower temperature and higher efficiency.- Aluminum core for higher stability.",ATX,Radeon RX 570,AMD Radeon RX 500 Series,Yes,1 x HDMI,PCI Express 3.0 x16,NONE,246 mm,NONE,256-Bit,4GB,GDDR5,RX 570 ARMOR 4G OC,5,OpenGL 4.5,NONE,NONE,NONE,8-Pin,NONE,NONE,Dual Slot,2048 Stream Processors,Recommended PSU: 450W,150W,NONE,Yes,-19,246.12599999999998,130.048
MSI,RX 570,MSI Radeon RX 570 DirectX 12 RX 570 GAMING X 8G 8GB 256-Bit GDDR5 PCI Express x16 HDCP Ready CrossFireX Support ATX Video Card,$199.99 –,5.0,Free Shipping,https://www.newegg.com/msi-radeon-rx-570-rx-570-gaming-x-8g/p/N82E16814137257?Description=RX,NONE,MSI,NONE,"10.87"" x 5.59""",AMD,Double Fans,1293 MHz (OC Mode)1281 MHz (Gaming Mode)1244 MHz (Silent Mode),"Crossfire, 2-Way (Bridgeless)",1 x DL-DVI-D,22-Oct-20,DirectX 12,2 x DisplayPort,Yes,NONE,7100 MHz (OC Mode )7000 MHz (Gaming/Silent Mode),Yes,"TWIN FROZR VISmooth heat pipes: Squared shape at bottom maximize heat transfer from the copper base plateZero Frozr: Stopping the fan in low-load situations, keeping a noise-free environmentAirflow Control technology: Deflectors thrusts air onto heat pipes for lower temperatures and better gamingTORX FAN 2.0: Supremely silentDispersion fan blade: Steeper curved blade accelerating the airflowTraditional fan blade: Provides steady airflow to massive heat sink belowGaming AppInstant Performance Gain: Unlock extra performance or keep your card silent during light use in one clickLED control: Full control on your RGB GAMING LEDs to set the moodMobile APP: Control your graphics card from your phone",ATX,Radeon RX 570,AMD Radeon RX 500 Series,Yes,2 x HDMI,PCI Express x16,NONE,276 mm,NONE,256-Bit,8GB,GDDR5,RX 570 GAMING X 8G,5,OpenGL 4.5,NONE,NONE,NONE,8-Pin,NONE,NONE,Dual Slot,2048 Stream Processors,Recommended PSU: 450W,120W,NONE,Yes,-2,276.09799999999996,141.986
Sapphire,RX 570,SAPPHIRE PULSE Radeon RX 570 DirectX 12 11266-66-20G 8GB 256-Bit GDDR5 PCI Express 3.0 CrossFireX Support Video Card,$318.41 –,,$31.00 Shipping,https://www.newegg.com/sapphire-radeon-rx-570-11266-66-20g/p/N82E16814202366?Description=RX,1284 MHz,SAPPHIRE,NONE,"9.06"" x 4.92""",AMD,Double Fans,NONE,Yes,NONE,28-Jul-20,DirectX 12,2 x DisplayPort 1.4,NONE,NONE,7000 MHz,Yes,Sapphire Features:Dual-X CoolingLong Life Dual Ball Bearing FansIntelligent Fan Control IIIQuick Connect SystemLong Life CapacitorBack plateBlackDiamond 4 ChokesFuse protection AMD Features:Radeon VR Ready PremiumRadeon SoftwareRadeon FreeSync TechnologyAMD LiquidVR Technology4th Gen GCN ArchitectureRadeon ChillRadeon ReLive DirectX 12 TechnologyAMD Eyefinity Technology (Gaming)AMD App AccelerationAMD CrossFire TechnologyAMD CrossFire (Bridgeless)3rd Gen 14nm Process TechnologyOpenCL 2.0OpenGL 4.5AMD PowerTune TechnologyTrueAudio NextUnified Video Decoder (UVD)Video Code Engine (VCE)Virtual Super ResolutionThe Vulkan API,NONE,Radeon RX 570,AMD Radeon RX 500 Series,NONE,2 x HDMI,PCI Express 3.0,NONE,230 mm,DisplayPort: 5120x2880@60HzHDMI: 4096x2160@60Hz,256-Bit,8GB,GDDR5,11266-66-20G,4,OpenGL 4.5,"Windows 10, Windows 7, 64-bit operating system required",NONE,NONE,8-Pin,NONE,PULSE,Dual Slot,2048 Stream Processors,500-Watt or greater power supply (Recommended)1 x 8-pin Power ConnectorPCI Express compliant motherboard with one x16 graphics slot,<180W,NONE,Yes,0 reviews,230.124,124.96799999999999
Sapphire,RX 570,Sapphire 11266-09-20G Radeon NITRO+ RX 570 8GB GDDR5 DUAL HDMI / DVI-D / DUAL DP with backplate (UEFI) PCI-E Graphics Card,$599.95 –,,Free Shipping,https://www.newegg.com/sapphire-radeon-rx-570-11266-09-20g/p/1DW-0003-000C7?Description=RX,1340 MHz,SAPPHIRE,NONE,"10.24"" x 5.31""",AMD,Double Fans,NONE,Yes,1 x DL-DVI-D,21-May-20,DirectX 12,2 x DisplayPort 1.4,Yes,NONE,"1750 MHz, 7000 MHz Effective",Yes,FreeSync TechnologyQuad HD Display (4K*2K Support)Dual BIOSAMD Liquid VR TechnologyAMD Xconnect readyHDR ReadyFrame Rate Target ControlNITRO Fan CheckNITRO Quick Connect systemNITRO Glow RGB LEDNITRO CoolTech (NCT)NITRO Free FlowDual-X CoolingNITRO BoostIntelligent Fan Control IIIBlack Diamond Choke 4Fuse protectionPrecision fan controlRobust VRM CoolingRadeon ChillRadeon Relive,NONE,Radeon RX 570,AMD Radeon RX 500 Series,NONE,2 x HDMI,NONE,NONE,260 mm,5120 x 2880,256-Bit,8GB,GDDR5,11266-09-20G,5,OpenGL 4.5,Windows 10Windows 7,NONE,NONE,"1 x 6-Pin, 1 x 8-Pin",NONE,NITRO+,Dual Slot,2048 Stream Processors,Power Consumption: <195W500-Watt Power Supply (Suggestion)1 x 8-pin AUX Power Connector1 x 6-pin AUX Power ConnectorBlue-ray / HD DVD playback requires Blu-ray / HD DVD drivePCI Express 2.0 or higher version based PC is required with one X16 lane graphics slot available on the motherboard in order for the card to be compatible with,225W,NONE,Yes,0 reviews,260.096,134.874
GIGABYTE,RX 570,GIGABYTE AORUS Radeon RX 570 DirectX 12 GV-RX570AORUS-4GD 4GB 256-Bit GDDR5 PCI Express 3.0 x16 CrossFireX Support ATX Video Card,$309.99 (1 Offers)–,4.0,Free Shipping,https://www.newegg.com/gigabyte-radeon-rx-570-gv-rx570aorus-4gd/p/N82E16814125965?Description=RX,NONE,GIGABYTE,NONE,"9.13"" x 4.76""",AMD,WINDFORCE 2X,1295 MHz (OC Mode) / 1280 MHz (Gaming Mode),Yes,1 x Dual-Link DVI-D,29-Oct-18,DirectX 12,3 x DisplayPort 1.4,Yes,NONE,7000 MHz,Yes,Powered by Radeon RX 570WINDFORCE 2X with 90mm Blade Fan DesignAdvanced Copper Back Plate CoolingRGB fusion - 16.7M customizable color lightingStylish Metal Back PlateIntuitive AORUS Graphics Engine,ATX,Radeon RX 570,AMD Radeon RX 500 Series,NONE,1 x HDMI 2.0,PCI Express 3.0 x16,NONE,232 mm,7680 x 4320,256-Bit,4GB,GDDR5,GV-RX570AORUS-4GD,5,OpenGL 4.5,NONE,NONE,NONE,8-Pin,NONE,AORUS,Dual Slot,2048 Stream Processors,System PSU Limitation: 450W,150W,NONE,Yes,-6,231.90200000000002,120.90399999999998
MSI,RX 570,MSI Radeon RX 570 DirectX 12 RX 570 ARMOR 8G OC 8GB 256-Bit GDDR5 PCI Express x16 HDCP Ready CrossFireX Support ATX Video Card,$199.00 –,,Special Shipping,https://www.newegg.com/msi-radeon-rx-570-rx570armor8goc-rfb/p/N82E16814137435?Description=RX,1268 MHz,MSI,NONE,"9.69"" x 5.12""",AMD,Double Fans,NONE,"Crossfire, 2-Way (Bridgeless)",1 x DL-DVI-D,23-Jun-20,DirectX 12,3 x DisplayPort,Yes,NONE,7000 MHz,NONE,"TORX Fan- Dispersion fan blade: Steep curved blade accelerating the airflow.- Traditional fan blade: Provides steady airflow to massive heat sink below.Zero Frozr: Stopping the fan in low-load situations, keeping a noise-free environment.Advanced Airflow Control technology: Improves cooling efficiency by using advanced aerodynamics to focus airflow.Afterburner Overclocking UtilityWireless control through Android/iOS devices.Predator: In-game video recording.Kombustor: built-in DirectX12 benchmark.Supports multi-GPU setups.All Solid Capacitors10 years long lifetime under full load.Lower temperature and higher efficiency.Aluminum core for higher stability.",ATX,Radeon RX 570,AMD Radeon RX 500 Series,Yes,1 x HDMI,PCI Express x16,NONE,246 mm,NONE,256-Bit,8GB,GDDR5,RX 570 ARMOR 8G OC,5,OpenGL 4.5,NONE,NONE,NONE,8-Pin,NONE,NONE,Dual Slot,2048 Stream Processors,Recommended PSU: 450W,150W,NONE,Yes,0 reviews,246.12599999999998,130.048
ASRock,RX 570,ASRock Phantom Gaming D Radeon RX 570 DirectX 12 RX570 8G OC 8GB 256-Bit GDDR5 PCI Express 3.0 x16 HDCP Ready Video Card,$169.99 (2 Offers)–,4.0,$3.99 Shipping,https://www.newegg.com/asrock-radeon-rx-570-rx570-8g-oc/p/N82E16814930008?Description=RX,NONE,ASRock,NONE,"9.30"" x 5.02""",AMD,Double Fans,OC Mode: 1320 MHzDefault Mode: 1270 MHz Silent Mode: 1219 MHz,NONE,1 x Dual-link DVI-D,13-Aug-18,DirectX 12,3 x DisplayPort 1.4,Yes,NONE,OC Mode: 7028 MHzDefault Mode: 7000 MHzSilent Mode: 6972 MHz,NONE,"Double Ball Bearings Fan DesignHigh Performance Composite HeatpipesSupport 8K ResolutionGraphic Outputs: 3 DisplayPort, HDMI, DVIPhantom Gaming Tweak UtilityTemperature and Fan Speed MonitoringCore / Memory Clock TweakCore / Memory Voltage Tweak",NONE,Radeon RX 570,AMD Radeon RX 500 Series,Yes,1 x HDMI 2.0,PCI Express 3.0 x16,NONE,236 mm,7680 x 4320,256-Bit,8GB,GDDR5,RX570 8G OC,5,OpenGL 4.5,NONE,NONE,Accessories- 1 x Support CD- 1 x Quick Installation Guide,6-Pin,NONE,Phantom Gaming D,Dual Slot,2048 Stream Processors,Recommended PSU: 500W,150W,NONE,Yes,"1,107 (92% Positive)",236.22,127.50799999999998
