brand,model,product_name,price,rating,shipping,url,Boost Clock ,Brand ,Card Dimensions (L x H) ,Chipset Manufacturer ,Cooler ,Core Clock ,CrossFireX Support ,DVI ,Date First Available ,DirectX ,DisplayPort ,Dual-Link DVI Supported ,Edition ,Effective Memory Clock ,Eyefinity Support ,Features ,Form Factor ,GPU ,GPU Series ,HDCP Ready ,HDMI ,Interface ,Mantle Support ,Max GPU Length ,Max Resolution ,Memory Interface ,Memory Size ,Memory Type ,Model ,Multi-Monitor Support ,OpenGL ,Operating Systems Supported ,Package Contents ,Power Connector ,Series ,Slot Width ,Stream Processors ,System Requirements ,Thermal Design Power ,TrueAudio Support ,Virtual Reality Ready ,review_numbers,Length (mm),Height (mm)
GIGABYTE,RX Vega 56,GIGABYTE Radeon RX Vega 56 DirectX 12 GV-RXVEGA56GAMING OC-8GD 8GB 2048-Bit HBM2 PCI Express 3.0 x16 CrossFireX Support ATX Video Card,$449.90 (2 Offers)–,2.0,Free Shipping,https://www.newegg.com/gigabyte-radeon-rx-vega-56-gv-rxvega56gaming-oc-8gd/p/N82E16814932030?Description=RX,1501 MHz,GIGABYTE,"10.78"" x 5.18""",AMD,WINDFORCE 2X,1170 MHz,Yes,NONE,10-Jul-20,DirectX 12,3 x DisplayPort 1.4,NONE,NONE,800 MHz (1.6 Gbps),Yes,Powered by AMD Radeon RX VEGA 56 GPU8GB 2048-bit High Bandwidth Memory (HBM2)WINDFORCE 2X 100mm Fan Cooling SystemRadeon VR Ready PremiumFeatures 3 x HDMI / 3 x DisplayPortBuilt for Extreme Overclocking 12+1 Power Phases,ATX,Radeon RX Vega 56,AMD Radeon RX VEGA Series,NONE,3 x HDMI 2.0b,PCI Express 3.0 x16,NONE,274 mm,HDMI-2.0b: 4096 x 2160 @ 60 HzDisplay Port-1.4: 7680 x 4320 @ 60 Hz,2048-Bit,8GB,HBM2,GV-RXVEGA56GAMING OC-8GD,6,OpenGL 4.5,NONE,Accessories:1 x PCI-E Power cable (Two 6-pin to 8-pin),2 x 8-Pin,NONE,Triple Slot,3584 Stream Processors,Recommended PSU: 650W,210W,NONE,Yes,291 (90% Positive),273.81199999999995,131.57199999999997
XFX,RX Vega 56,"XFX RX Vega 56 8GB Video Cards, RX-VEGALDFF6",$499.00 –,4.0,Free Shipping,https://www.newegg.com/xfx-radeon-rx-vega-56-rx-vegaldff6/p/N82E16814150819?Description=RX,1471 MHz,XFX,"11.14"" x 5.12""",AMD,Double Fans,1156 MHz,Yes,NONE,22-Jun-20,DirectX 12,3 x DisplayPort 1.4,NONE,NONE,800 MHz (1.6 Gbps),Yes,Microsoft Windows 10 SupportFinFET 14nm TechnologyGCN 4th Generation ArchitectureAMD Virtual Super Resolution (VSR)AMD ReliveAMD ChillAMD LiquidVR TechnologyAMD FreeSync 2 TechnologyAMD Frame Rate Target Control (FRTC)AMD Eyefinity multi-display technologyAMD App AccelerationAMD XConnect ReadyAMD Radeon Crimson SoftwareAMD WattManAMD APP AccelerationDolby TrueHD and DTS-HD Master Audio SupportUp to 6 displays supported (may require the use of MST Hubs)Vulkan and Mantle Ready. Next Generation APIsOpenCL Support,NONE,Radeon RX Vega 56,AMD Radeon RX VEGA Series,NONE,1 x HDMI 2.0b,PCI Express 3.0,Yes,290 mm,4096 x 2160,2048-Bit,8GB,HBM2,RX-VEGALDFF6,NONE,OpenGL 4.5,NONE,Accessories:2 x 8-pin to 6-pin power cableDriver Disk Installation Guide,2 x 8-Pin,NONE,Dual Slot,3584 Stream Processors,Minimum Power Supply Requirement: 750-WattXFX Recommended Power Supply: XFX 750W PSU,300W,Yes,Yes,-6,282.956,130.048
Sapphire,RX Vega 56,SAPPHIRE NITRO+ Radeon RX Vega 56 DirectX 12 100420NT+LESR 8GB 2048-Bit HBM2 PCI Express 3.0 CrossFireX Support ATX Video Card,$639.00 (2 Offers)–,4.0,Free Shipping,https://www.newegg.com/sapphire-radeon-rx-vega-56-100420nt-lesr/p/N82E16814202305?Description=RX,1572 MHz,SAPPHIRE,"12.20"" x 5.24""",AMD,Triple Fans,1305 MHz,Yes,NONE,10-Aug-20,DirectX 12,2 x DisplayPort 1.4,NONE,NONE,800 MHz,Yes,8GB High Bandwidth Cache (HBM2)Radeon VR Ready PremiumNext-Gen Compute UnitsRadeon FreeSync 2 TechnologyRadeon WattmanRadeon ReLiveRadeon Chill3rd Gen FinFET 14DirectX 12 OptimizedVulkan OptimizedExtra overclocking headroom on Limited Edition modelsTurbine-X system fan controlEnhance Tri-X cooling / Robust VRM coolingVapor Chamber Technology / Dual Ball bearing FansBlack Diamond choke 4th / Fuse protectionNitro Boost overclockingNitro Fan CheckNitro Quick Connect FansNitro Intelligent Fan control 3thNitro Glow RGB LED indicatorsVR Ready - Dual HDMI ports featuring HDMI 2.0Dual UEFI-Dual settings for Boost or silent operation,ATX,Radeon RX Vega 56,AMD Radeon RX VEGA Series,NONE,2 x HDMI 2.0b,PCI Express 3.0,NONE,310 mm,5120 x 2880,2048-Bit,8GB,HBM2,100420NT+LESR,4,OpenGL 4.5,Windows 10Windows 7,NONE,3 x 8-Pin,NITRO+,Triple Slot,3584 Stream Processors,750 Watts Power Supply (Suggestion)3 x 8-pin AUX Power ConnectorCD-ROM or DVD-ROM drive for installing softwarePCI Express 2.0 or higher version based PC is required with one X16 lane graphics slot available on the motherboard in order for the card to be compatible with,300W,NONE,Yes,-3,309.87999999999994,133.096
Sapphire,RX Vega 56,SAPPHIRE PULSE Radeon RX Vega 56 DirectX 12 100420PSR 8GB 2048-Bit HBM2 PCI Express 3.0 CrossFireX Support ATX Video Card,$590.00 –,4.0,Free Shipping,https://www.newegg.com/sapphire-radeon-rx-vega-56-100420psr/p/N82E16814202318?Description=RX,1512 MHz,SAPPHIRE,"11.10"" x 4.92""",AMD,Double Fans,1208 MHz,Yes,NONE,5-Aug-20,DirectX 12,3 x DisplayPort 1.4,NONE,NONE,"800 MHz, 1600 MHz Effective",Yes,8GB HBM2Radeon VR Ready PremiumNext-Gen Compute UnitsRadeon FreeSync 2 TechnologyRadeon WattmanRadeon ReLiveRadeon Chill3rd Gen FinFET 14DirectX 12 OptimizedVulkan OptimizedEnhance Dual-X cooling / Robust VRM coolingBlack Diamond choke 4th / Fuse protectionQuick Connect FansIntelligent Fan control 3thVR Ready - Dual HDMI ports featuring HDMI 2.0Dual UEFI settings for Boost or silent operationCompatible with AMD and Intel platform,ATX,Radeon RX Vega 56,AMD Radeon RX VEGA Series,NONE,1 x HDMI 2.0b,PCI Express 3.0,NONE,282 mm,5120 x 2880,2048-Bit,8GB,HBM2,100420PSR,4,OpenGL 4.5,Windows 10Windows 7,NONE,2 x 8-Pin,PULSE,2.5 slot,3584 Stream Processors,Power Consumption: 180WSystem Requirement: 750-Watt Power Supply (Suggestion)2 x 8-pin AUX Power ConnectorCD-ROM or DVD-ROM drive for installing softwarePCI Express 2.0 or higher version based PC is required with one X16 lane graphics slot available on the motherboard in order for the card to be compatible with,300W,NONE,Yes,-32,281.94,124.96799999999999
ASUS,RX Vega 56,ASUS AREZ Strix Radeon RX Vega 56 AREZ-STRIX-RXVEGA56-O8G-GAMING 8GB 2048-Bit HBM2 PCI Express 3.0 HDCP Ready CrossFireX Support Video Card,$610.00 –,4.0,Free Shipping,https://www.newegg.com/asus-radeon-rx-vega-56-arez-strix-rxvega56-o8g-gaming/p/N82E16814126180?Description=RX,1573 MHz,ASUS,"11.73"" x 5.47""",AMD,Triple Fans,1297 MHz,Yes,1 x DL-DVI-D,4-Jun-20,NONE,2 x DisplayPort 1.4,Yes,NONE,800 MHz,Yes,MaxContact Technology that is 2X more contact with GPU for improved thermal transfer.Patented Wing-Blade IP5X-Certified Fans for maximum airflow and longer fan lifespan.ASUS FanConnect II equips with hybrid controlled fan headers for optimal system cooling.Industry Only Auto-Extreme Technology with Super Alloy Power II delivers premium quality and best reliability.ASUS Aura Sync RGB LED synchronization enables a gaming system personalization.VR-friendly HDMI ports let you enjoy VR experiences anytime without having to swap cables.GPU Tweak II with XSplit Gamecaster provides intuitive performance tweaking and real-time streaming.,NONE,Radeon RX Vega 56,AMD Radeon RX VEGA Series,2.2,2 x HDMI 2.0b,PCI Express 3.0,NONE,298 mm,7680 x 4320,2048-Bit,8GB,HBM2,AREZ-STRIX-RXVEGA56-O8G-GAMING,NONE,OpenGL 4.5,NONE,Accessories:2 x ROG Velcro Hook & Loop1 x CD1 x Quick Guide1 x Power cable,2 x 8-Pin,AREZ Strix,NONE,3584 Stream Processors,NONE,300W,NONE,Yes,-10,297.942,138.938
PowerColor,RX Vega 56,PowerColor Radeon RX Vega 56 DirectX 12 AXRX VEGA 56 8GBHBM2-3DH 8GB 2048-Bit HBM2 PCI Express 3.0 CrossFireX Support ATX Video Card,$599.00 –,4.0,Free Shipping,https://www.newegg.com/powercolor-radeon-rx-vega-56-axrx-vega-56-8gbhbm2-3dh/p/N82E16814131730?Description=RX,1471 MHz,PowerColor,"11.02"" x 5.00""",AMD,Single Fan,1156 MHz,Yes,NONE,14-Apr-20,DirectX 12,3 x DisplayPort,NONE,NONE,800 MHz (1.6 Gbps),NONE,NONE,ATX,Radeon RX Vega 56,AMD Radeon RX VEGA Series,NONE,1 x HDMI,PCI Express 3.0,NONE,280 mm,NONE,2048-Bit,8GB,HBM2,AXRX VEGA 56 8GBHBM2-3DH,3,OpenGL 4.5,NONE,NONE,2 x 8-Pin,NONE,Dual Slot,3584 Stream Processors,Minimum System Power Requirement: 650W,300W,NONE,Yes,-17,279.90799999999996,127.0
MSI,RX Vega 56,MSI Radeon RX Vega 56 DirectX 12 Vega 56 AIR BOOST 8G 8GB 2048-Bit HBM2 PCI Express x16 HDCP Ready CrossFireX Support Video Card,$598.00 –,,Free Shipping,https://www.newegg.com/msi-radeon-rx-vega-56-vega-56-air-boost-8g/p/27N-0023-000W3?Description=RX,1471 MHz,MSI,"10.63"" x 4.33""",AMD,Single Fan,1156 MHz,"Crossfire, 4-Way (Bridgeless)",NONE,30-Jul-19,DirectX 12,3 x DisplayPort,NONE,NONE,800 MHz,Yes,"All Solid Capacitors - 10 years long lifetime under full load. - Lower temperature and higher efficiency. - Aluminum core for higher stability.  Afterburner Overclocking Utility - Predator: In-game video recording. - Supports multi-GPU setups.  AMD Eyefinity - Makes games more immersive by enabling you to play across multiple screens for an eye-popping gaming experience.  AMD FreeSync - Synchronizes the display refresh to your Radeon RX Series GPU for the fast, smooth gaming.",NONE,Radeon RX Vega 56,AMD Radeon RX VEGA Series,Yes,1 x HDMI,PCI Express x16,NONE,270 mm,NONE,2048-Bit,8GB,HBM2,Vega 56 AIR BOOST 8G,4,OpenGL 4.5,NONE,NONE,2 x 8-Pin,NONE,Dual Slot,3584 Stream Processors,Recommended PSU: 650W,210W,NONE,Yes,291 (90% Positive),270.002,109.982
MSI,RX Vega 56,MSI Radeon VEGA 56 8GB Air Boost OC HBM2 Video Graphics Card GPU,$470.00 –,,Free Shipping,https://www.newegg.com/msi-radeon-rx-vega-56-radeon-vega-56/p/27N-0023-001A6?Description=RX,NONE,MSI,NONE,NVIDIA,Single Fan,NONE,Yes,NONE,30-Sep-20,NONE,NONE,NONE,Air Cooler,NONE,NONE,NONE,NONE,Radeon RX Vega 56,AMD Radeon RX VEGA Series,NONE,NONE,PCI Express 3.0 x16,NONE,NONE,NONE,NONE,8GB,NONE,Radeon VEGA 56,NONE,NONE,NONE,NONE,NONE,Air Boost OC,NONE,NONE,NONE,300W,NONE,Yes,0 reviews,0.0,0.0
MSI,RX Vega 56,MSI Radeon RX Vega 56 Radeon RX Vega 56 8G Video Card,$599.00 –,5.0,Free Shipping,https://www.newegg.com/msi-radeon-rx-vega-56-8g/p/N82E16814137228?Description=RX,NONE,MSI,"11.02"" x 5.00""",AMD,BLACK FAN,NONE,NONE,NONE,14-Apr-20,NONE,3 x DisplayPort,NONE,NONE,NONE,NONE,NONE,NONE,Radeon RX Vega 56,AMD Radeon RX VEGA Series,NONE,1 x HDMI,NONE,NONE,280 mm,NONE,NONE,NONE,NONE,Radeon RX Vega 56 8G,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,300W,NONE,NONE,-12,279.90799999999996,127.0
PowerColor,RX Vega 56,PowerColor RED DRAGON Radeon RX Vega 56 DirectX 12 AXRX VEGA 56 8GBHBM2-2D2HD/OC 8GB 2048-Bit HBM2 PCI Express 3.0 CrossFireX Support ATX Video Card,$589.00 –,,Free Shipping,https://www.newegg.com/powercolor-radeon-rx-vega-56-axrx-vega-56-8gbhbm2-2d2hd-oc/p/27N-000F-000F8?Description=RX,1478 MHz,PowerColor,"12.01"" x 5.51""",AMD,Triple Fans,1177 MHz,Yes,NONE,29-Aug-20,DirectX 12,2 x DisplayPort,NONE,NONE,800 MHz (1.6 Gbps),Yes,AMD CrossFire Technology  AMD Eyefinty Technology  AMD XConnect Ready  HDMI  Microsoft DirextX 12  Microsoft Windows 10 Support  Microsoft Windows 7 Support  PCI Express 3.0  Premium VR Ready  Radeon Chill  Radeon ReLive  TRUE AUDIO TECHNOLOGY  UEFI Support  Virtual Super Resolution,ATX,Radeon RX Vega 56,AMD Radeon RX VEGA Series,NONE,2 x HDMI,PCI Express 3.0,NONE,305 mm,4096 x 2160,2048-Bit,8GB,HBM2,AXRX VEGA 56 8GBHBM2-2D2HD/OC,NONE,OpenGL 4.5,NONE,NONE,1 x 6-Pin + 1 x 8-Pin,RED DRAGON,Dual Slot,3584 Stream Processors,Minimum System Power requirement: 650W,300W,Yes,Yes,0 reviews,305.054,139.95399999999998
PowerColor,RX Vega 56,PowerColor RED DEVIL Radeon RX Vega 56 DirectX 12 AXRX VEGA 56 8GBHBM2-2D2H/OC 8GB 2048-Bit HBM2 PCI Express 3.0 CrossFireX Support ATX Video Card,$599.00 –,5.0,Free Shipping,https://www.newegg.com/powercolor-radeon-rx-vega-56-axrx-vega-56-8gbhbm2-2d2h-oc/p/N82E16814131733?Description=RX,1526 MHz,PowerColor,"12.44"" x 5.91""",AMD,Triple Fans,1308 MHz,Yes,NONE,17-Jul-20,DirectX 12,2 x DisplayPort,NONE,NONE,800 MHz (1.6 Gbps),Yes,AMD CrossFire TechnologyAMD Eyefinty TechnologyAMD XConnect ReadyHDMIMicrosoft DirextX 12Microsoft Windows 10 SupportMicrosoft Windows 7 SupportPCI Express 3.0Premium VR ReadyRadeon ChillRadeon ReLiveTRUE AUDIO TECHNOLOGYUEFI SupportVirtual Super Resolution,ATX,Radeon RX Vega 56,AMD Radeon RX VEGA Series,NONE,2 x HDMI,PCI Express 3.0,NONE,316 mm,4096 x 2160,2048-Bit,8GB,HBM2,AXRX VEGA 56 8GBHBM2-2D2H/OC,NONE,OpenGL 4.5,NONE,NONE,2 x 8-Pin,RED DEVIL,Dual Slot,3584 Stream Processors,Minimum System Power requirement: 750W,375W,NONE,Yes,-10,315.97599999999994,150.114
