brand,model,product_name,price,rating,shipping,url,3D VISION Game Ready ,Boost Clock ,Brand ,CUDA Cores ,Card Dimensions (L x H) ,Chipset Manufacturer ,Cooler ,Core Clock ,DVI ,Date First Available ,DirectX ,DisplayPort ,Dual-Link DVI Supported ,Edition ,Effective Memory Clock ,Features ,Form Factor ,GPU ,GPU Series ,HDCP Ready ,HDMI ,Interface ,Max GPU Length ,Max Resolution ,Memory Interface ,Memory Size ,Memory Type ,Model ,Multi-Monitor Support ,OpenGL ,Operating Systems Supported ,Option ,Other Ports ,Package Contents ,Power Connector ,SLI Support ,Series ,Slot Width ,System Requirements ,Thermal Design Power ,Virtual Reality Ready ,review_numbers,Length (mm),Height (mm)
MSI,RTX 2070,MSI GeForce RTX 2070 DirectX 12 RTX 2070 ARMOR 8G 8GB 256-Bit GDDR6 PCI Express 3.0 x16 HDCP Ready Video Card,$999.99 (4 Offers)–,4.0,,https://www.newegg.com/msi-geforce-rtx-2070-rtx-2070-armor-8g/p/N82E16814137366?Description=rtx,NONE,1620 MHz,MSI,2304,"11.61"" x 5.51""",NVIDIA,Double Fans,1410 MHz,NONE,27-Oct-20,DirectX 12,3 x DisplayPort 1.4,NONE,NONE,14 Gbps,"Armor Thermal DesignTORX Fan 2.0 with Double Ball Bearings- Dispersion fan blade: Steep curved blade accelerating the airflow- Traditional fan blade: Provides steady airflow to massive heat sink belowMastery of Aerodynamics: The heatsink is optimized for efficient heat dissipation, keeping your temperatures low and performance highZero Frozr technology: Stopping the fan in low-load situations, keeping a noise-free environmentRGB Mystic LightCustomize colors and LED effects with exclusive MSI software and synchronize the look & feel with other components",NONE,GeForce RTX 2070,NVIDIA GeForce RTX 20 Series,2.2,1 x HDMI 2.0b,PCI Express 3.0 x16,295 mm,7680 x 4320,256-Bit,8GB,GDDR6,RTX 2070 ARMOR 8G,4,OpenGL 4.5,NONE,NONE,1 x USB Type-C,NONE,"1 x 8-pin, 1 x 6-pin",NONE,NONE,NONE,Recommended PSU: 550W,175W,Yes,247 (72% Positive),294.894,139.954
ASUS,RTX 2070,ASUS ROG Strix GeForce RTX 2070 DirectX 12 ROG-STRIX-RTX2070-O8G-GAMING 8GB 256-Bit GDDR6 PCI Express 3.0 HDCP Ready Video Card,$569.99 –,3.0,75.0,https://www.newegg.com/asus-geforce-rtx-2070-rog-strix-rtx2070-o8g-gaming/p/N82E16814126266?Description=rtx,NONE,OC Mode: 1845 MHzGaming Mode (Default): 1815 MHz,ASUS,2304,"11.83"" x 5.14""",NVIDIA,Triple Fans,1410 MHz,NONE,6-Jul-20,DirectX 12,2 x DisplayPort 1.4,NONE,NONE,14000 MHz,"""NVIDIA TURING: ROG GeForce RTX graphics cards are powered by the Turing GPU architecture and the all-new RTX platform. This gives you up to 6X the performance of previous-generation graphics cards and brings the power of real-time ray tracing and AI to games.DirectX 12: Power new visual effects and rendering techniques for more lifelike gaming.NVIDIA Shadowplay Record and share high-quality gameplay videos, screenshots, and livestreams with your friends.Unique Wing-blade Fans deliver high air pressure, reduced noise levels, IP5X certified dust resistance, and 0dB mode for silent gaming.MaxContact Technology allows 2X more contact with the GPU chip for improved thermal transfer.Auto-Extreme Technology uses automation to enhance reliability.Super Alloy Power II includes premium alloy chokes, solid polymer capacitors, and an array of high-current power stages to fuel Turings cores.ASUS FanConnect II equips 2 hybrid-controlled fan headers for optimal system cooling.GPU Tweak II provides intuitive performance tweaking and thermal controls.""",NONE,GeForce RTX 2070,NVIDIA GeForce RTX 20 Series,2.2,2 x HDMI 2.0b,PCI Express 3.0,300 mm,7680 x 4320,256-Bit,8GB,GDDR6,ROG-STRIX-RTX2070-O8G-GAMING,4,OpenGL 4.6,NONE,NONE,1 x USB Type-C,Accessories:1 x Quick Guide1 x CD1 x ROG Velcro Hook & Loop,"1 x 6-pin, 1 x 8-pin",No,ROG Strix,2.5-slot,Recommended PSU: 550W,185W,Yes,0 reviews,300.482,130.556
MSI,RTX 2070,MSI GeForce RTX 2070 SUPER DirectX 12 RTX 2070 Super GAMING X 8GB 256-Bit GDDR6 PCI Express 3.0 x16 HDCP Ready SLI Support Video Card,$684.99 –,,99.99,https://www.newegg.com/p/1FT-0009-004U1?Description=rtx,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,18-Oct-20,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,0 reviews,0.0,0.0
MSI,RTX 2070,MSI GeForce RTX 2070 DirectX 12 RTX 2070 ARMOR 8G OC 8GB 256-Bit GDDR6 PCI Express 3.0 x16 HDCP Ready Video Card,"$1,249.49 (2 Offers)–",4.0,,https://www.newegg.com/msi-geforce-rtx-2070-rtx-2070-armor-8g-oc/p/N82E16814137363?Description=rtx,NONE,1740 MHz,MSI,2304,"12.17"" x 6.10""",NVIDIA,Double Fans,1410 MHz,NONE,27-Oct-20,DirectX 12,3 x DisplayPort 1.4,NONE,NONE,14 Gbps,"Armor Thermal DesignTORX Fan 2.0 with Double Ball Bearings- Dispersion fan blade: Steep curved blade accelerating the airflow- Traditional fan blade: Provides steady airflow to massive heat sink belowMastery of Aerodynamics: The heatsink is optimized for efficient heat dissipation, keeping your temperatures low and performance highZero Frozr technology: Stopping the fan in low-load situations, keeping a noise-free environmentRGB Mystic LightCustomize colors and LED effects with exclusive MSI software and synchronize the look & feel with other components",NONE,GeForce RTX 2070,NVIDIA GeForce RTX 20 Series,2.2,1 x HDMI 2.0b,PCI Express 3.0 x16,309 mm,7680 x 4320,256-Bit,8GB,GDDR6,RTX 2070 ARMOR 8G OC,4,OpenGL 4.5,NONE,NONE,1 x USB Type-C,NONE,"1 x 8-pin, 1 x 6-pin",NONE,NONE,NONE,Recommended PSU: 550W,185W,Yes,247 (72% Positive),309.118,154.94
ASUS,RTX 2070,ASUS ROG Strix GeForce RTX 2070 DirectX 12 ROG-STRIX-RTX2070-8G-GAMING 8GB 256-Bit GDDR6 PCI Express 3.0 HDCP Ready Video Card,"$1,999.99 (1 Offers)–",4.0,,https://www.newegg.com/asus-geforce-rtx-2070-rog-strix-rtx2070-8g-gaming/p/N82E16814126270?Description=rtx,NONE,OC Mode: 1650 MHzGaming Mode (Default): 1620 MHz,ASUS,2304,"11.83"" x 5.14""",NVIDIA,Triple Fans,1410 MHz,NONE,20-Aug-20,DirectX 12,2 x DisplayPort 1.4,NONE,NONE,14000 MHz,"""NVIDIA TURING: ROG GeForce RTX graphics cards are powered by the Turing GPU architecture and the all-new RTX platform. This gives you up to 6X the performance of previous-generation graphics cards and brings the power of real-time ray tracing and AI to games.DirectX 12: Power new visual effects and rendering techniques for more lifelike gaming.NVIDIA Shadowplay Record and share high-quality gameplay videos, screenshots, and livestreams with your friends.Unique Wing-blade Fans deliver high air pressure, reduced noise levels, IP5X certified dust resistance, and 0dB mode for silent gaming.MaxContact Technology allows 2X more contact with the GPU chip for improved thermal transfer.Auto-Extreme Technology uses automation to enhance reliability.Super Alloy Power II includes premium alloy chokes, solid polymer capacitors, and an array of high-current power stages to fuel Turings cores.ASUS FanConnect II equips 2 hybrid-controlled fan headers for optimal system cooling.GPU Tweak II provides intuitive performance tweaking and thermal controls.""",NONE,GeForce RTX 2070,NVIDIA GeForce RTX 20 Series,2.2,2 x HDMI 2.0b,PCI Express 3.0,300 mm,7680 x 4320,256-Bit,8GB,GDDR6,ROG-STRIX-RTX2070-8G-GAMING,4,OpenGL 4.5,NONE,NONE,1 x USB Type-C,Accessories:1 x CD1 x Quick Guide1 x ROG Velcro Hook & Loop,"1 x 6-Pin, 1 x 8-Pin",No,ROG Strix,2.5-slot,Recommended PSU: 550W,185W,Yes,-40,300.482,130.556
EVGA,RTX 2070,"EVGA GeForce RTX 2070 XC GAMING, 08G-P4-2172-KR, 8GB GDDR6, Dual HDB Fans & RGB LED",$869.99 –,3.0,,https://www.newegg.com/evga-geforce-rtx-2070-08g-p4-2172-kr/p/N82E16814487412?Description=rtx,NONE,1710 MHz,EVGA,2304,"10.62"" x 4.38""",NVIDIA,Double Fans,NONE,NONE,20-Jul-20,DirectX 12,3 x DisplayPort 1.4,NONE,NONE,14000 MHz,"NVIDIA AnselAdjustable RGB LEDAll-Metal Backplate, Pre-InstalledReal-Time Ray TracingNVIDIA GeForce ExperienceNVIDIA HighlightsNVIDIA G-SYNC CompatibleGame Ready DriversMicrosoft DirectX 12 API, Vulkan API, OpenGL 4.5NVIDIA GPU BoostBuilt for EVGA Precision X1Designed for USB Type-C and VirtualLink",NONE,GeForce RTX 2070,NVIDIA GeForce RTX 20 Series,2.2,1 x HDMI 2.0b,PCI Express 3.0,270 mm,7680 x 4320,256-Bit,8GB,GDDR6,08G-P4-2172-KR,4,OpenGL 4.5,Windows 10 64-bitWindows 7 64-bit,NONE,1 x USB Type-C,NONE,"1 x 6-Pin, 1 x 8-Pin",No,NONE,Dual Slot,Minimum of a 550-Watt power supplyAn available 6-pin PCIe power connector and an available 8 pin PCIe power connector,175W,Yes,-73,269.748,111.25200000000001
ASUS,RTX 2070,ASUS Dual GeForce RTX 2070 SUPER DUAL-RTX2070S-A8G-EVO 8GB 256-Bit GDDR6 PCI Express 3.0 x16 HDCP Ready SLI Support Video Card,$734.59 (2 Offers)–,4.0,25.0,https://www.newegg.com/asus-geforce-rtx-2070-super-dual-rtx2070s-a8g-ev/p/N82E16814126394?Description=rtx,NONE,OC Mode: 1815 MHz Gaming Mode (Default): 1785 MHz,ASUS,2560,"10.50"" x 4.70""",NVIDIA,Double Fans,OC Mode: 1635 MHzGaming Mode (Default): 1605 MHz,NONE,28-Oct-20,NONE,3 x DisplayPort 1.4,NONE,NONE,14000 MHz,"RT Cores: Dedicated ray tracing hardware enables fast real-time ray tracing of objects and environments with physically accurate shadows, reflections, refractions, and global illumination.Concurrent Floating Point and Integer Processing: Turing GPUs more efficiently process the compute heavy workloads of modern games.Ultra-fast GDDR6: Experience up to 496 GB/s of memory bandwidth for high-speed, high-resolution gaming.Axial-tech fan design features a smaller fan hub that facilitates longer blades and a barrier ring that increases downward air pressure.0dB Technology lets you enjoy light gaming in relative silence.2.7-slot Design expands cooling surface area to make the most of the two powerful Axial-tech fans.Auto-Extreme Technology uses automation to enhance reliability.A Protective backplate secures components during transportation and installation.GPU Tweak II provides intuitive performance tweaking, thermal controls, and system monitoring.144-hour Validation Program puts cards through a series of stringent tests to ensure compatibility with the latest games.",NONE,GeForce RTX 2070 SUPER,NONE,2.2,1 x HDMI 2.0b,PCI Express 3.0 x16,267 mm,7680 x 4320,256-Bit,8GB,GDDR6,DUAL-RTX2070S-A8G-EVO,4,OpenGL 4.6,NONE,NONE,NONE,Accessories:1 x Quick Guide,"1 x 6-pin, 1 x 8-pin",SLI Ready,Dual,2.7 slot,Recommended PSU: 650W,235W,Yes,883 (79% Positive),266.7,119.38
EVGA,RTX 2070,"EVGA GeForce RTX 2070 SUPER BLACK GAMING, 08G-P4-3071-KR, 8GB GDDR6",$534.99 (2 Offers)–,4.0,,https://www.newegg.com/evga-geforce-rtx-2070-super-08g-p4-3071-kr/p/N82E16814487456?Description=rtx,NONE,1770 MHz,EVGA,2560,"10.62"" x 4.38""",NVIDIA,Double Fans,NONE,NONE,25-Jul-20,DirectX 12,3 x DisplayPort 1.4,NONE,NONE,14000 MHz,"NVIDIA AnselReal-Time Ray TracingNVIDIA GeForce ExperienceNVIDIA HighlightsNVIDIA G-SYNC CompatibleGame Ready DriversMicrosoft DirectX 12 API, Vulkan API, OpenGL 4.5NVIDIA GPU BoostBuilt for EVGA Precision X1Designed for USB Type-C and VirtualLink",NONE,GeForce RTX 2070 SUPER,NONE,2.2,1 x HDMI 2.0b,PCI Express 3.0,270 mm,7680 x 4320,256-Bit,8GB,GDDR6,08G-P4-3071-KR,4,OpenGL 4.5,"Windows 10 64-bit, Windows 7 64-bit",NONE,1 x USB Type-C VirtualLink,NONE,An available 6-pin PCIe power connector and an available 8-pin PCIe power connector,2-Way SLI,NONE,Dual Slot,"650W or greater power supply.PCI Express, PCI Express 2.0 or PCI Express 3.0 compliant motherboard with one graphics slot.",215W,Yes,-143,269.748,111.25200000000001
MSI,RTX 2070,MSI GeForce RTX 2070 SUPER DirectX 12 RTX 2070 SUPER VENTUS OC 8GB 256-Bit GDDR6 PCI Express 3.0 x16 HDCP Ready SLI Support Video Card,$844.99 –,4.0,,https://www.newegg.com/msi-geforce-rtx-2070-super-rtx-2070-super-ventus-oc/p/N82E16814137438?Description=rtx,NONE,1785 MHz,MSI,2560,"10.12"" x 5.00""",NVIDIA,Double Fans,NONE,NONE,28-Oct-20,DirectX 12,3 x DisplayPort 1.4,NONE,NONE,14 Gpbs,"TORX Fan 2.0:Dispersion fan blade: Steep curved blade accelerating the airflow.Traditional fan blade: Provides steady airflow to massive heat sink below.Afterburner Overclocking Utility:OC Scanner: An automated function finds the highest stable overclock settings.Kombustor: The latest DirectX versions benchmark supporting.Predator: In-game video recording.NVIDIA G-SYNC and HDR:Get smooth, tear-free gameplay at refresh rates up to 240 Hz, plus HDR, and more. This is the ultimate gaming display and the go-to equipment for enthusiast gamers.GeForce RTX VR:By combining advanced VR rendering, real-time ray tracing, and AI, GeForce RTX will take VR to a new level of realism.",NONE,GeForce RTX 2070 SUPER,NONE,2.2,1 x HDMI 2.0b,PCI Express 3.0 x16,257 mm,7680 x 4320,256-Bit,8GB,GDDR6,RTX 2070 SUPER VENTUS OC,4,OpenGL 4.5,NONE,NONE,NONE,NONE,1 x 8-pin and 1 x 6-pin,"NVIDIA NVLINK (SLI-Ready), 2-way",NONE,NONE,Recommended PSU: 650W,215W,Yes,16 (81% Positive),257.048,127.0
GIGABYTE,RTX 2070,"GIGABYTE GeForce RTX 2070 Super GAMING OC 8G Graphics Card, 3 x WINDFORCE Fans, 8GB 256-Bit GDDR6, GV-N207SGAMING OC-8GC Video Card",$719.99 (3 Offers)–,4.0,45.0,https://www.newegg.com/gigabyte-geforce-rtx-2070-super-gv-n207sgaming-oc-8gc/p/N82E16814932171?Description=rtx,NONE,NONE,GIGABYTE,2560,"11.28"" x 4.51""",NVIDIA,WINDFORCE 3X,1815 MHz,NONE,9-Oct-20,DirectX 12,3 x DisplayPort 1.4,NONE,NONE,14000 MHz,Powered by GeForce RTX 2070 SUPERIntegrated with 8GB GDDR6 256-bit memory interfaceWINDFORCE 3X Cooling System with alternate spinning fansRGB Fusion 2.0 - synchronize with other AORUS devicesMetal Back Plate,ATX,GeForce RTX 2070 SUPER,NONE,NONE,1 x HDMI 2.0b,PCI Express 3.0 x16,287 mm,7680 x 4320 @ 60 Hz,256-Bit,8GB,GDDR6,GV-N207SGAMING OC-8GC,4,OpenGL 4.5,NONE,NONE,1 x USB Type-C (support VirtualLink),Accessories:Quick guideDriver CD,"1 x 8-Pin, 1 x 6-Pin",2-way NVIDIA NVLINK,NONE,2.5 slot,System PSU Limitation: 650W,215W,Yes,36 (64% Positive),286.512,114.554
PNY,RTX 2070,PNY GeForce RTX 2070 SUPER Graphic Card - 8 GB GDDR6,$857.06 –,2.0,25.0,https://www.newegg.com/p/N82E16814133796?Description=rtx,NONE,NONE,PNY,NONE,NONE,NVIDIA,With Fan,NONE,NONE,6-Jul-20,DirectX 12OpenGL 4.5Vulkan,3,NONE,NONE,NONE,DisplayPort:Yes,Plug-in Card,RTX 2070 SUPER,NONE,NONE,1 x HDMI,NONE,281 mm,NONE,256-Bit,8 GB,GDDR6,NONE,NONE,DirectX 12OpenGL 4.5Vulkan,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,215W,NONE,-1,0.0,0.0
EVGA,RTX 2070,"EVGA GeForce RTX 2070 SUPER XC ULTRA GAMING, 08G-P4-3173-RX, 8GB GDDR6, Dual HDB Fans, RGB LED, Metal Backplate",$499.99 –,5.0,9.99,https://www.newegg.com/evga-geforce-rtx-2070-super-08g-p4-3173-rx/p/N82E16814487503?Description=rtx,NONE,1800 MHz,EVGA,2560,"10.62"" x 4.38""",NVIDIA,Double Fans,NONE,NONE,7-May-20,DirectX 12,3 x DisplayPort 1.4,NONE,NONE,14000 MHz,"NVIDIA AnselAdjustable RGB LEDAll-Metal Backplate, Pre-InstalledReal-Time Ray TracingNVIDIA GeForce ExperienceNVIDIA HighlightsNVIDIA G-SYNC CompatibleGame Ready DriversDisplayPort 1.4, HDMI 2.0bHDCP 2.2NVIDIA GPU BoostBuilt for EVGA Precision X1Designed for USB Type-C and VirtualLinkMicrosoft DirectX 12 Ultimate, Vulkan, OpenGL 4.6",NONE,GeForce RTX 2070 SUPER,NONE,2.2,1 x HDMI 2.0b,PCI Express 3.0,270 mm,7680 x 4320,256-Bit,8GB,GDDR6,08G-P4-3173-RX,4,OpenGL 4.6,"Windows 10 64-bit, Windows 7 64-bit",NONE,1 x USB Type-C VirtualLink,NONE,An available 6-pin PCIe power connector and an available 8-pin PCIe power connector,SLI Ready,NONE,2.75 Slot,"650W or greater power supply.PCI Express, PCI Express 2.0 or PCI Express 3.0 compliant motherboard with one graphics slot.",215W,Yes,-9,269.748,111.25200000000001
ASUS,RTX 2070,ASUS ROG STRIX GeForce RTX 2070 SUPER DirectX 12 ROG-STRIX-RTX2070S-8G-GAMING 8GB 256-Bit GDDR6 PCI Express 3.0 HDCP Ready SLI Support Video Card,$749.99 (3 Offers)–,4.0,75.0,https://www.newegg.com/asus-geforce-rtx-2070-super-rog-strix-rtx2070s-8g-gaming/p/N82E16814126366?Description=rtx,NONE,OC mode: 1800 MHzGaming mode: 1770 MHz,ASUS,2560,"11.80"" x 5.13""",NVIDIA,Triple Fans,OC mode: 1635 MHzGaming mode: 1605 MHz,NONE,28-Oct-20,DirectX 12,2 x DisplayPort 1.4,NONE,NONE,14000 MHz,"RT Cores: Dedicated ray tracing hardware enables fast real-time ray tracing of objects and environments with physically accurate shadows, reflections, refractions, and global illumination.Concurrent Floating Point and Integer Processing: Turing GPUs more efficiently process the compute heavy workloads of modern games.Ultra-fast GDDR6: Experience up to 496 GB/s of memory bandwidth for high-speed, high-resolution gaming.Axial-tech fan design features a smaller fan hub that facilitates longer blades and a barrier ring that increases downward air pressure.0dB Technology lets you enjoy light gaming in relative silence.2.7-slot Design expands cooling surface area to make the most of the three powerful Axial-tech fans.Dual BIOS switch lets you toggle between Quiet and Performance BIOS profiles sans software.Auto-Extreme Technology uses automation to enhance reliability.Super Alloy Power II includes premium alloy chokes, solid polymer capacitors, and an array of high-current power stages.MaxContact Technology allows 2X more contact with the GPU chip for improved thermal transfer.A reinforced frame prevents excessive torsion and lateral bending of the PCB.GPU Tweak II provides intuitive performance tweaking, thermal controls, and system monitoring.Aura Sync compatibility lets you customize and sync lighting effects with other compatible hardware.ASUS FanConnect II equips 2 hybrid-controlled fan headers for optimal system cooling.",NONE,GeForce RTX 2070 SUPER,NONE,2.2,2 x HDMI 2.0b,PCI Express 3.0,300 mm,7680 x 4320,256-Bit,8GB,GDDR6,ROG-STRIX-RTX2070S-8G-GAMING,4,OpenGL 4.6,NONE,NONE,1 x USB Type-C,Accessories:1 x Quick Guide1 x ROG Velcro Hook & Loop,2 x 8-Pin,SLI Ready,ROG STRIX,2.7 slot,Recommended PSU: 650W,215W,Yes,883 (79% Positive),299.72,130.30200000000002
ASUS,RTX 2070,ASUS Dual GeForce RTX 2070 DirectX 12 DUAL-RTX2070-O8G-EVO 8GB 256-Bit GDDR6 PCI Express 3.0 HDCP Ready Video Card,$685.00 (2 Offers)–,5.0,,https://www.newegg.com/asus-geforce-rtx-2070-dual-rtx2070-o8g-evo/p/N82E16814126326?Description=rtx,NONE,OC Mode: 1740 MHzGaming Mode (Default): 1710 MHz,ASUS,2304,"10.51"" x 4.65""",NVIDIA,Double Fans,1410 MHz,1 x DL-DVI-D,7-Oct-20,DirectX 12,2 x DisplayPort 1.4,Yes,NONE,14000 MHz,"""NVIDIA TURING: ASUS GeForce RTX graphics cards are powered by the Turing GPU architecture and the all-new RTX platform. This gives you up to 6X the performance of previous-generation graphics cards and brings the power of real-time ray tracing and AI to games.DirectX 12: Power new visual effects and rendering techniques for more lifelike gaming.4K: Step up to the ultimate 4K gaming experience with GeForce RTX and enjoy todays biggest games in amazing detail.Axial-tech Fans feature an all-around better design and IP5X dust resistance.2.7-Slot Design expands cooling surface area to make the most of the two powerful Axial-tech fans.Auto-Extreme Technology uses automation to enhance reliability.Super Alloy Power II includes premium alloy chokes, solid polymer capacitors, and an array of high-current power stages to fuel Turings cores.Reinforced by a Protective Backplate that prevents PCB flex and trace damage.GPU Tweak II provides intuitive performance tweaking and thermal controls.144-Hour Validation Program puts cards through a series of stringent tests to ensure reliability.""",NONE,GeForce RTX 2070,NVIDIA GeForce RTX 20 Series,2.2,2 x HDMI 2.0b,PCI Express 3.0,267 mm,7680 x 4320,256-Bit,8GB,GDDR6,DUAL-RTX2070-O8G-EVO,4,OpenGL 4.5,NONE,NONE,NONE,Accessories:1 x CD1 x Quick Guide,8-Pin,No,Dual,2.7 slots,Recommended PSU: 550W,215W,NONE,883 (79% Positive),266.954,118.11
