Boost Clock ,Brand ,CUDA Cores ,Card Dimensions (L x H) ,Chipset Manufacturer ,Cooler ,Core Clock ,DVI ,Date First Available ,DirectX ,DisplayPort ,Dual-Link DVI Supported ,Edition ,Effective Memory Clock ,Features ,Form Factor ,GPU ,GPU Series ,HDCP Ready ,HDMI ,Interface ,Max GPU Length ,Max Resolution ,Memory Interface ,Memory Size ,Memory Type ,Model ,Multi-Monitor Support ,OpenGL ,Operating Systems Supported ,Option ,Package Contents ,PixelPipelines ,Power Connector ,SLI Support ,Series ,Slot Width ,System Requirements ,Thermal Design Power ,Virtual Reality Ready ,review_numbers
['1809 MHz (OC Mode)1784 MHz (Gaming Mode)1708 MHz (Silent Mode)'],['MSI'],['1280'],"['11.00"" x 5.51""']",['NVIDIA'],['Double Fans'],['1594 MHz (OC Mode)1569 MHz (Gaming Mode)1506 MHz (Silent Mode)'],['1 x DL-DVI-D'],"['June 13, 2019']",['DirectX 12'],['3 x DisplayPort 1.4'],['Yes'],,['8108 MHz (OC Mode)8008 MHz (Gaming Mode)8008 MHz (Silent Mode)'],"['The Ultimate GAMING: TWIN FROZR VI- Smooth heat pipes: Squared shape at bottommaximize heat transfer from the copper base plate- Zero Frozr: Stopping the fan in low-load situations, keeping a noise-free environment- Airflow Control technology: Deflectors thrusts air onto heat pipes for lower temperatures and better gamingTORX FAN 2.0: Supremely silent- Dispersion fan blade: Steeper curved blade accelerating the airflow- Traditional fan blade: Provides steady airflow to massive heatsink belowGaming App- Instant Performance Gain: Unlock extra performance or keep your card silent during light use in one click- LED control: Full control on your RGB GAMING LEDs to set the mood- Mobile APP: Control your graphics card from your phone']",['ATX'],['GeForce GTX 1060'],['NVIDIA GeForce GTX 10 Series'],['2.2'],['1 x HDMI 2.0'],['PCI Express 3.0 x16'],['277 mm'],['7680 x 4320'],['192-Bit'],['6GB'],['GDDR5'],['GTX 1060 GAMING X 6G'],['4'],['OpenGL 4.5'],,,['Accessories:Driver CDInstallation Guide'],,['8-Pin'],,,['Dual Slot'],['Power Consumption: 120WRecommended PSU: 400W'],['120W'],['Yes'],(294)
"['OC mode: 1809 MHzGaming Mode (Default): 1785 MHz*Retail goods are with default Gaming Mode, OC Mode can be adjusted with one click on GPU Tweak II']",['ASUS'],['1152'],"['9.53"" x 5.12""']",['NVIDIA'],['Double Fans'],['OC mode: 1594 MHzGaming Mode (Default): 1569 MHz'],['1 x Native DVI-D'],"['February 11, 2019']",['DirectX 12'],['2 x Native DisplayPort 1.4'],,,['8008 MHz'],"['ASUS Dual series of GeForce GTX 1060 graphics provide sweet spot performance- 1809 MHz Boost Clock in OC mode for outstanding performance and gaming experience.- Unique Wing-Blade Fans for max air flow with 105% more air pressure.- Perfectly Matched with ASUS X99 A II motherboards for optimized style and performance.- Industry Only Auto-Extreme Technology with Super Alloy Power II delivers premium quality and best reliability.- VR-Friendly HDMI Ports for immersive virtual reality experiences.- GPU Tweak II with Xsplit Gamecaster provides intuitive performance tweaking and instant gameplay streaming.- NVIDIA ANSEL for a revolutionary new way to capture in-game screenshots.- NVIDIA GameWorks provides an interactive and cinematic experience, as well as incredibly smooth gameplay.']",,['GeForce GTX 1060'],['NVIDIA GeForce GTX 10 Series'],['2.2'],['2 x Native HDMI 2.0b'],['PCI Express 3.0'],['242 mm'],['7680 x 4320'],['192-Bit'],['3GB'],['GDDR5'],['DUAL-GTX1060-O3G'],,['OpenGL 4.5'],,,['Accessories:1 x CD1 x Quick Guide'],,['6-Pin'],,['Dual'],['2.1 slots'],,['120W'],['Yes'],(73)
['1835 MHz'],['EVGA'],['1280'],"['10.50"" x 4.38""']",['NVIDIA'],['Double Fans'],['1607 MHz'],['1 x Dual-Link DVI-D'],"['June 18, 2019']",['DirectX 12'],['3 x DisplayPort 1.4'],['Yes'],,['8008 MHz'],"['NVIDIA GameStream TechnologyNVIDIA G-SYNC ReadyOpenGL 4.6 SupportSimultaneous Multi-ProjectionVR ReadyNVIDIA AnselNVIDIA GPU Boost 3.0Microsoft DirectX 12 APIVulkan APIPCI Express 3.0Max Digital Resolution - 7680x4320HDMI 2.0b, DisplayPort 1.4 and Dual-Link DVIBuilt for EVGA Precision XOCEVGA ACX 3.0 Cooling']",,['GeForce GTX 1060'],['NVIDIA GeForce GTX 10 Series'],,['1 x HDMI 2.0b'],['PCI Express 3.0'],['267 mm'],['7680 x 4320'],['192-Bit'],['6GB'],['GDDR5'],['06G-P4-6267-KR'],['4'],['OpenGL 4.6'],"['Windows 10 32/64bit, Windows 8 32/64bit, Windows 7 32/64bit']",,,,['8-Pin'],,,['Dual Slot'],['Minimum of a 400-Watt power supplyOne available 8-pin PCI-E power dongleTotal Power Draw: 120 Watts'],['120W'],['Yes'],43 (63% Positive)
['N/A'],['EVGA'],['1152'],"['10.50"" x 4.38""']",['NVIDIA'],['EVGA ACX 3.0 Cooling'],['1607 MHz'],['1 x Dual-Link DVI-D'],"['October 09, 2018']",['DirectX 12'],['3 x DisplayPort 1.4'],['Yes'],['None'],['8008 MHz'],"['NVIDIA GameStream TechnologyNVIDIA G-SYNC ReadyOpenGL 4.5 SupportSimultaneous Multi-ProjectionVR ReadyNVIDIA AnselNVIDIA GPU Boost 3.0Microsoft DirectX 12Vulkan APIPCI Express 3.0Max Digital Resolution - 7680 x 4320HDMI 2.0b, DisplayPort 1.4 and Dual-Link DVIBuilt for EVGA Precision XOCEVGA ACX 3.0 Cooling']",,['GeForce GTX 1060'],['NVIDIA GeForce GTX 10 Series'],,['1 x HDMI 2.0b'],['PCI Express 3.0'],['267 mm'],['7680 x 4320'],['192-Bit'],['3GB'],['GDDR5'],['03G-P4-6167-KR'],['4'],['OpenGL 4.5'],"['Windows 10 32/64bit, Windows 8 32/64bit, Windows 7 32/64bit']",['GTX 1060 SSC ACX3.0'],,,['8-Pin'],,,['Dual Slot'],"['400W or greater power supply.PCI Express, PCI Express 2.0 or PCI Express 3.0 compliant motherboard with one graphics slot.']",['120W'],['Yes'],(25)
['1835 MHz'],['EVGA'],['1280'],,['NVIDIA'],,,,"['May 09, 2019']",['DirectX 12'],,,,,,,,,,,['PCI Express 3.0 x16'],,,,['6GB'],,['06G-P4-6264-KB'],,['OpenGL 4.5'],,,,,,,,,,,,0 reviews
['N/A'],['EVGA'],['1152'],"['6.80"" x 4.38""']",['NVIDIA'],['ACX 2.0 Single Fan'],['1506 MHz'],['1 x Dual-Link DVI-D'],"['June 18, 2019']",['DirectX 12'],['3 x DisplayPort 1.4'],['Yes'],['None'],['8008 MHz'],"['NVIDIA GameStream TechnologyNVIDIA GSYNC ReadyOpenGL 4.5 SupportSimultaneous Multi-ProjectionVR ReadyNVIDIA AnselNVIDIA GPU Boost 3.0Microsoft DirectX 12Vulkan APIPCI Express 3.0Max Digital Resolution - 7680 x 4320HDMI 2.0b, DisplayPort 1.4 and Dual-Link DVIBuilt for EVGA Precision XOC']",,['GeForce GTX 1060'],['NVIDIA GeForce GTX 10 Series'],['Yes'],['1 x HDMI 2.0b'],['PCI Express 3.0'],['173 mm'],['7680 x 4320'],['192-Bit'],['3GB'],['GDDR5'],['03G-P4-6160-KR'],['4'],['OpenGL 4.5'],"['Windows 10 32/64bit, Windows 8 32/64bit, Windows 7 32/64bit']",['GTX 1060 ACX 2.0 Single'],,,['6-Pin'],['No'],,['Dual Slot'],['Minimum of a 400W power supplyAn available 6-pin PCI-E power connectorTotal Power Draw: 120 Watts'],['120W'],['Yes'],(76)
"['OC Mode: 1809 MHzGaming Mode: 1785 MHz*Retail goods are with default Gaming Mode, OC Mode can be adjusted with one click on GPU Tweak II']",['ASUS'],['1280'],"['9.53"" x 5.12""']",['NVIDIA'],['Double Fans'],['OC Mode: 1594 MHzGaming Mode: 1569 MHz'],['1 x Native DVI-D'],"['May 21, 2020']",,['2 x Native DisplayPort 1.4'],,,['8008 MHz'],"['ASUS Dual series of GeForce GTX 1060 graphics provide sweet spot performance1809 MHz Boost Clock in OC mode for outstanding performance and gaming experience.Unique Wing-Blade Fans for max air flow with 105% more air pressure.Perfectly matched with ASUS X99-A II Overview motherboards for optimized style and performance.Industry Only Auto-Extreme Technology with Super Alloy Power II delivers premium quality and best reliability.VR-friendly HDMI Ports for immersive virtual reality experiences.GPU Tweak II with Xsplit Gamecaster provides intuitive performance tweaking and instant gameplay streaming.NVIDIA ANSEL for a revolutionary new way to capture in-game screenshots.NVIDIA GameWorks provides an interactive and cinematic experience, as well as incredibly smooth gameplay.']",,['GeForce GTX 1060'],['NVIDIA GeForce GTX 10 Series'],['Yes'],['2 x Native HDMI 2.0'],['PCI Express 3.0'],['242 mm'],['7680 x 4320'],['192-Bit'],['6GB'],['GDDR5'],['DUAL-GTX1060-O6G'],,['OpenGL 4.5'],,,,,['6-Pin'],,,['Dual Slot'],,['120W'],['Yes'],(82)
['1797 MHz in OC Mode1771 MHz in Gaming Mode'],['GIGABYTE'],['1152'],"['8.78"" x 4.76""']",['NVIDIA'],['WINDFORCE 2X'],['1582 MHz in OC Mode1556 MHz in Gaming Mode'],['2 x Dual-link DVI-D'],"['October 22, 2020']",['DirectX 12'],['1 x DisplayPort 1.4'],['Yes'],,['8008 MHz'],['Powered by GeForce GTX 1060Integrated with 3GB GDDR5 192-bit memoryWINDFORCE 2X with Blade Fan DesignSupport up to 8K display @60HzBuilt with 4+1 power phases'],['ATX'],['GeForce GTX 1060'],['NVIDIA GeForce GTX 10 Series'],,['1 x HDMI 2.0b'],['PCI Express 3.0 x16'],['223 mm'],['7680 x 4320'],['192-Bit'],['3GB'],['GDDR5'],['GV-N1060WF2OC-3GD'],['4'],['OpenGL 4.5'],,,,,['6-Pin'],,,['Dual Slot'],['Recommended PSU: 400W'],['120W'],['Yes'],291 (90% Positive)
['1708 MHz'],['EVGA'],['1280'],"['6.80"" x 4.38""']",['NVIDIA'],['Single Fan'],['1506 MHz'],['1 x Dual-Link DVI-D'],"['October 22, 2020']",['DirectX 12'],['3 x DisplayPort 1.4'],['Yes'],,['8008 MHz'],"['Simultaneous Multi-Projection VR Ready NVIDIA Ansel NVIDIA G-SYNC NVIDIA GameStream NVIDIA GPU Boost 3.0 Microsoft DirectX 12 Vulkan API OpenGL 4.5 Support PCI Express 3.0 Max Digital Resolution - 7680 x 4320HDMI 2.0b, DisplayPort 1.4 and Dual-Link DVI Built for EVGA Precision XOC']",,['GeForce GTX 1060'],['NVIDIA GeForce GTX 10 Series'],['Yes'],['1 x HDMI 2.0b'],['PCI Express 3.0'],['173 mm'],['7680 x 4320'],['192-Bit'],['6GB'],['GDDR5'],['06G-P4-6161-KR'],['4'],['OpenGL 4.5'],"['Windows 10 32/64bit, Windows 8 32/64bit, Windows 7 32/64bit, Windows Vista 32/64bit']",,,,['6-Pin'],['No'],,['Dual Slot'],"['400W or greater power supply.PCI Express, PCI Express 2.0 or PCI Express 3.0 compliant motherboard with one graphics slot.']",['120W'],['Yes'],291 (90% Positive)
['1835 MHz'],['EVGA'],['1152'],"['6.80"" x 4.38""']",['NVIDIA'],['ACX 2.0 Single Fan'],['1607 MHz'],['1 x Dual-Link DVI-D'],"['June 18, 2019']",['DirectX 12'],['3 x DisplayPort 1.4'],['Yes'],,['8008 MHz'],"['NVIDIA GameStream TechnologyOpenGL 4.6 SupportVR ReadyNVIDIA GPU Boost 3.0Vulkan APIMax Digital Resolution - 7680x4320Built for EVGA Precision XOCNVIDIA G-SYNC ReadySimultaneous Multi-ProjectionNVIDIA AnselMicrosoft DirectX 12 APIPCI Express 3.0HDMI 2.0b, DisplayPort 1.4 and Dual-Link DVI']",,['GeForce GTX 1060'],['NVIDIA GeForce GTX 10 Series'],['Yes'],['1 x HDMI 2.0b'],['PCI Express 3.0'],['173 mm'],['7680 x 4320'],['192-Bit'],['3GB'],['GDDR5'],['03G-P4-6162-KR'],['4'],['OpenGL 4.6'],"['Windows 10 32/64bit, Windows 8 32/64bit, Windows 7 32/64bit']",,,,['6-Pin'],['No'],,['Dual Slot'],['Minimum of a 400 Watts power supplyAn available 6-pin PCI-E power connectorTotal Power Draw: 120 Watts'],['120W'],['Yes'],(89)
['1771 MHz'],['ZOTAC'],['1280'],"['8.27"" x 4.80""']",['NVIDIA'],['Dual Fan IceStorm'],['1556 MHz'],['1 x Dual-link DVI-D'],"['September 16, 2019']",['DirectX 12'],['3 x DisplayPort 1.4'],['Yes'],,['8 GHz'],['Dual 90mm IceStormFREEZE TechSimultaneous Multi-ProjectionVR ReadyNVIDIA AnselNVIDIA GPU BOOST 3.0NVIDIA G-SyncNVIDIA GameStream'],,['GeForce GTX 1060'],['NVIDIA GeForce GTX 10 Series'],['Yes'],['1 x HDMI 2.0b'],['PCI Express 3.0'],['210 mm'],['7680 x 4320'],['192-Bit'],['6GB'],['GDDR5'],['ZT-P10600B-10M'],['4'],['OpenGL 4.5'],['Microsoft Windows 10/8/7 x86/x64'],,['ZOTAC GeForce GTX 1060 AMP! EditionDual 4-pin to 6-pin cableUser Manual'],,['6-Pin'],['No'],,['Dual Slot'],['Recommended Power Supply: 400W'],['120W'],['Yes'],(58)
['1708 MHz'],['ZOTAC'],['1152'],"['6.85"" x 4.38""']",['NVIDIA'],['Single Fan'],['1506 MHz'],['1 x DL-DVI'],"['July 10, 2020']",['DirectX 12'],['3 x DisplayPort 1.4'],['Yes'],,['8 GHz'],"['The ZOTAC GeForce GTX 1060 graphics card is loaded with innovative new gaming technologies, making it the perfect choice for the latest high-definition games. Powered by NVIDIA Pascal - the most advanced GPU architecture ever created - the ZOTAC GeForce GTX 1060 delivers brilliant performance that opens the door to virtual reality and beyond.FEATURES- Simultaneous Multi-Projection- VR Ready- NVIDIA Ansel- NVIDIA GPU BOOST 3.0- NVIDIA G-Sync- NVIDIA GameStream- Vulkan API']",,['GeForce GTX 1060'],['NVIDIA GeForce GTX 10 Series'],['Yes'],['1 x HDMI 2.0b'],['PCI Express 3.0'],['174 mm'],,['192-Bit'],['3GB'],['GDDR5'],['ZT-P10610A-10L'],['4'],['OpenGL 4.5'],['Windows 10 / 8 / 7'],,['Accessories:User Manual'],,['6-Pin'],['No'],,['Dual Slot'],['Recommended Power Supply: 400WPower Consumption: 120W'],['120W'],['Yes'],(34)
['1708 MHz'],['EVGA'],['1280'],"['10.50"" x 4.38""']",['NVIDIA'],['ACX 3.0'],['1506 MHz'],['1 x Dual-Link DVI-D'],"['September 16, 2019']",['DirectX 12'],['3 x DisplayPort 1.4'],['Yes'],,['8008 MHz'],"['NVIDIA GameStream TechnologyNVIDIA G-SYNC ReadyOpenGL 4.6 SupportSimultaneous Multi-ProjectionVR ReadyNVIDIA AnselNVIDIA GPU Boost 3.0Microsoft DirectX 12 APIVulkan APIPCI Express 3.0Max Digital Resolution - 7680x4320HDMI 2.0b, DisplayPort 1.4 and Dual-Link DVIBuilt for EVGA Precision XOCEVGA ACX 3.0 Cooling']",,['GeForce GTX 1060'],['NVIDIA GeForce GTX 10 Series'],,['1 x HDMI 2.0b'],['PCI Express 3.0'],['267 mm'],['7680 x 4320'],['192-Bit'],['6GB'],['GDDR5'],['06G-P4-6262-KR'],['4'],['OpenGL 4.6'],['Windows 10 32/64bitWindows 8 32/64bitWindows 7 32/64bit'],,,,['8-Pin'],,,['Dual Slot'],['Minimum of a 400-Watt power supplyTotal Power Draw: 120 Watts'],['120W'],['Yes'],(44)
['1835 MHz'],['EVGA'],['1280'],"['6.80"" x 4.38""']",['NVIDIA'],['Single Fan'],['1607 MHz'],['1 x Dual-Link DVI-D'],"['May 06, 2019']",['DirectX 12'],['3 x DisplayPort 1.4'],['Yes'],,['8008 MHz'],"['NVIDIA GameStream TechnologyNVIDIAG-SYNC ReadyOpenGL 4.5 SupportSimultaneous Multi-ProjectionVR ReadyNVIDIA AnselNVIDIA GPU Boost 3.0Microsoft DirectX 12Vulkan APIPCI Express 3.0Max Digital Resolution - 7680 x 4320HDMI 2.0b, DisplayPort 1.4 and Dual-Link DVIBuilt for EVGA Precision XOC']",,['GeForce GTX 1060'],['NVIDIA GeForce GTX 10 Series'],['Yes'],['1 x HDMI 2.0b'],['PCI Express 3.0'],['173 mm'],['7680 x 4320'],['192-Bit'],['6GB'],['GDDR5'],['06G-P4-6163-KR'],['4'],['OpenGL 4.5'],"['Windows 10 32/64bit, Windows 8 32/64bit, Windows 7 32/64bit, Windows Vista 32/64bit']",,,,['6-Pin'],['No'],,['Dual Slot'],"['400W or greater power supply.PCI Express, PCI Express 2.0 or PCI Express 3.0 compliant motherboard with one graphics slot.']",['120W'],['Yes'],(240)
['1708 MHz'],['ZOTAC'],['1280'],"['8.31"" x 4.92""']",['NVIDIA'],['Double Fans'],['1506 MHz'],['1 x DL-DVI-D'],"['September 09, 2019']",['DirectX 12'],['3 x DisplayPort 1.4'],['Yes'],,['8 GHz'],['IceStormSimultaneous Multi-Projection4K / VR ReadyNVIDIA AnselNVIDIA G-SyncNVIDIA GameStreamSuper Compact'],,['GeForce GTX 1060'],['NVIDIA GeForce GTX 10 Series'],['Yes'],['1 x HDMI 2.0b'],['PCI Express 3.0'],['211 mm'],,['192-Bit'],['6GB'],['GDDR5X'],['ZT-P10620A-10M'],['4'],['OpenGL 4.5'],['Windows 10 / 7 64-bit'],,['ZOTAC GeForce GTX 1060 6GB GDDR5X1 x Dual 6-pin to 8-pin power cableUser Manual'],,['8-Pin'],['No'],,['Dual Slot'],['Recommended Power Supply: 500W'],['120W'],['Yes'],(101)
['1708 MHz'],['ASUS'],['1152'],"['7.20"" x 4.76""']",['NVIDIA'],['Single Fan'],['1506 MHz'],['1 x DVI-D'],"['May 21, 2020']",,['2 x DisplayPort 1.4'],,,['8008 MHz'],['Dual-ball Bearing Fan reduces spinning friction for 2X longer lifespan and cooling efficiency.Industry Only Auto-Extreme Technology with Super Alloy Power II delivers premium quality and best reliability.NVIDIA ANSEL for a revolutionary new way to capture in-game screenshots.GPU Tweak II with XSplit Gamecaster provides intuitive performance tweaking and real-time streaming.'],,['GeForce GTX 1060'],['NVIDIA GeForce GTX 10 Series'],['2.2'],['2 x HDMI 2.0b'],['PCI Express 3.0'],['183 mm'],['7680 x 4320'],['192-Bit'],['3GB'],['GDDR5'],['PH-GTX1060-3G'],['4'],['OpenGL 4.5'],,,['Accessories:1 x CD1 x Quick Guide'],,['6-Pin'],['No'],['Phoenix'],['Dual Slot'],['Recommended PSU: 500W'],['120W'],['Yes'],(16)
['1708 MHz'],['ASUS'],['1280'],"['10.50"" x 4.38""']",['NVIDIA'],['Single Fan'],['1506 MHz'],['1 x DVI-D'],"['September 09, 2019']",,['2 x DisplayPort 1.4'],,,['8008 MHz'],"['Dual-ball Bearing Fan runs smoother by reducing friction, further improving 4X longer card lifespan and cooling efficiency.Industry Only Auto-Extreme Technology with Super Alloy Power II delivers premium quality and best reliability.VR-friendly HDMI Ports for immersive virtual reality experiences.Customizable Backlit Logo gives your system a truly unique look with your own LED backlit logo design.GPU Tweak II with Xsplit Gamecaster provides intuitive performance tweaking and instant gameplay streaming.NVIDIA ANSEL for a revolutionary new way to capture in-game screenshots.NVIDIA GameWorks provides an interactive and cinematic experience, as well as incredibly smooth gameplay.']",,['GeForce GTX 1060'],['NVIDIA GeForce GTX 10 Series'],['2.2'],['2 x HDMI 2.0'],['PCI Express 3.0'],['267 mm'],['7680 x 4320'],['192-Bit'],['6GB'],['GDDR5'],['TURBO-GTX1060-6G'],,['OpenGL 4.5'],,,['Accessories:1 x CD1 x Quick Guide'],,['6-Pin'],,['Turbo'],['Dual Slot'],,['120W'],['Yes'],(48)
['N/A'],['GIGABYTE'],['1280'],"['6.65"" x 5.16""']",['NVIDIA'],['Single Fan'],['1556 MHz in OC Mode1531 MHz in Gaming Mode'],['2 x Dual-link DVI-D'],"['January 05, 2019']",['DirectX 12'],['1 x DisplayPort 1.4'],['Yes'],,['8008 MHz'],['Powered by GeForce GTX 1060Integrated with 6GB GDDR5 192-bit memory90mm cooler with 3D active fanOne-click Super Overclocking17cm Compact Card Size'],['ATX'],['GeForce GTX 1060'],['NVIDIA GeForce GTX 10 Series'],,['1 x HDMI 2.0b'],['PCI Express 3.0 x16'],['169 mm'],['7680 x 4320'],['192-Bit'],['6GB'],['GDDR5'],['GV-N1060IXOC-6GD'],['4'],['OpenGL 4.5'],,['GV-N1060IXOC-6GD'],,,['6-Pin'],,,['Dual Slot'],['Recommended PSU: 400W'],['120W'],['Yes'],(26)
