Boost Clock ,Brand ,CUDA Cores ,Card Dimensions (L x H) ,Chipset Manufacturer ,Cooler ,Core Clock ,DVI ,Date First Available ,DirectX ,DisplayPort ,Dual-Link DVI Supported ,Edition ,Effective Memory Clock ,Features ,Form Factor ,GPU ,GPU Series ,HDCP Ready ,HDMI ,Interface ,Max GPU Length ,Max Resolution ,Memory Interface ,Memory Size ,Memory Type ,Model ,Multi-Monitor Support ,OpenGL ,Operating Systems Supported ,Option ,Package Contents ,PixelPipelines ,Power Connector ,SLI Support ,Series ,Slot Width ,System Requirements ,Thermal Design Power ,Virtual Reality Ready ,review_numbers
['1746 MHz (OC)1733 MHz (Gaming)1708 MHz (Silent)'],['MSI'],['1152'],"['10.91"" x 5.51""']",['NVIDIA'],['Double Fans'],['1531 MHz (OC)1518 MHz (Gaming)1506 MHz (Silent)'],['1 x DL-DVI-D'],"['July 20, 2020']",['DirectX 12'],['3 x DisplayPort'],['Yes'],,['8008 MHz'],"['The Ultimate GAMING: TWIN FROZR VI- Smooth heat pipes: Squared shape at bottom maximize heat transfer from the copper base plate- Zero Frozr: Stopping the fan in low-load situations, keeping a noise-free environment- Airflow Control technology: Deflectors thrusts air onto heat pipes for lower temperatures and better gamingTORX FAN 2.0: Supremely silent- Dispersion fan blade: Steeper curved blade accelerating the airflow- Traditional fan blade: Provides steady airflow to massive heat sink belowGaming App- Instant Performance Gain: Unlock extra performance or keep your card silent during light use in one click- LED control: Full control on your RGB GAMING LEDs to set the mood- Mobile APP: Control your graphics card from your phone']",['ATX'],['GeForce GTX 1060'],['NVIDIA GeForce GTX 10 Series'],['Yes'],['1 x HDMI'],['PCI Express 3.0 x16'],['278 mm'],,['192-Bit'],['3GB'],['GDDR5'],['GTX 1060 GAMING 3G'],['Yes'],['OpenGL 4.5'],,,['Accessories:Driver CDInstallation Guide'],,['8-Pin'],,,['Dual Slot'],['Power Consumption: 120WRecommended PSU: 400W'],['120W'],['Yes'],(12)
['1759 MHz'],['MSI'],['1280'],"['9.57"" x 4.53""']",['NVIDIA'],['Double Fans'],['1544 MHz'],['1 x DL-DVI-D'],"['June 13, 2019']",['DirectX 12'],['1 x DisplayPort 1.4'],['Yes'],,['8008 MHz'],"[""Military Class 4 Components- Certified to MIL-STD-810G standards for top stability and quality.- Built with Hi-c CAP and Solid CAP components.Dual Fans Thermal Design- Dual fans covers more area of heatsink to take heat away more efficiently.Afterburner Overclocking Utility- Wireless control through Android/iOS devices.- Predator: In-game video recording.- Kombustor: built-in DirectX 12 benchmark.GeForce GTX VR Ready- NVIDIA's unique set of features ensure you get the right level of performance, image quality, and latency to ensure your VR experience is nothing short of amazing.""]",['ATX'],['GeForce GTX 1060'],['NVIDIA GeForce GTX 10 Series'],['2.2'],['1 x HDMI 2.0'],['PCI Express 3.0 x16'],['243 mm'],,['192-Bit'],['6GB'],['GDDR5'],['GTX 1060 6GT OCV1'],['3'],['OpenGL 4.5'],,,,,['6-Pin'],,,['Dual Slot'],['Power Consumption: 120WRecommended PSU: 400W'],['120W'],['Yes'],(38)
['N/A'],['GIGABYTE'],['1152'],"['10.94"" x 4.49""']",['NVIDIA'],['WINDFORCE 2X'],['1620 MHz (OC Mode)1594 MHz (Gaming Mode)'],['1 x Dual-Link DVI-D'],"['March 12, 2020']",['DirectX 12'],['3 x DisplayPort 1.4'],['Yes'],,['8008 MHz'],['Powered by GeForce GTX 1060Integrated with 3GB GDDR5 192-bit memoryWINDFORCE 2X with Blade Fan DesignSupport up to 8K display @60Hz16.8M Customizable Color RGB Lighting'],['ATX'],['GeForce GTX 1060'],['NVIDIA GeForce GTX 10 Series'],,['1 x HDMI 2.0b'],['PCI Express 3.0 x16'],['278 mm'],['7680 x 4320'],['192-Bit'],['3GB'],['GDDR5'],['GV-N1060G1 GAMING-3GD 2.0'],['4'],['OpenGL 4.5'],,['GV-N1060G1GAMING-3GD'],,,['8-Pin'],,,['Dual Slot'],['System PSU Limitation: 400W'],['120W'],['Yes'],(19)
['1873 MHz in OC mode1847 MHz in Gaming mode'],['GIGABYTE'],['1280'],"['11.06"" x 5.39""']",['NVIDIA'],['Double Fans'],['1645 MHz in OC mode1620 MHz in Gaming mode'],['1 x Dual-link DVI-D (Standard mode)'],"['August 08, 2019']",['DirectX 12'],['3 x DisplayPort 1.4 (Standard mode)3 x DisplayPort (VR mode)'],['Yes'],,['OC mode: 8316 MHzGaming mode: 8164 MHz'],['Powered by GeForce GTX 1060Integrated with 6GB GDDR5 192-bit memoryWINDFORCE 2X 100mm Fan Cooling SystemAORUS VR Link provides the best VR experienceRGB fusion - 16.7M customizable color lightingBuilt for Extreme Overclocking 6+1 Power PhasesProtection Metal Back Plate'],['ATX'],['GeForce GTX 1060'],['NVIDIA GeForce GTX 10 Series'],,['1 x HDMI 2.0b (Standard mode)3 x HDMI (VR mode)'],['PCI Express 3.0 x16'],['281 mm'],['7680 x 4320'],['192-Bit'],['6GB'],['GDDR5'],['GV-N1060AORUS X-6GD (rev. 2.0)'],['4'],['OpenGL 4.5'],,,,,['8-Pin'],,['AORUS'],['2.5-slot'],['Recommended PSU: 400W'],['120W'],['Yes'],(12)
,['NVIDIA'],['1280'],"['9.823"" * 4.378""']",,,,,"['September 09, 2019']",['DirectX 12'],,,,,,,,,,,,,['7680 x 4320'],['192-Bit'],['6GB'],['GDDR5'],,,['OpenGL 4.5'],,,,,,,,['Dual Slot'],,,['Yes'],0 reviews
['1759 MHz'],['PNY'],,"['9.92"" x 4.37""']",['NVIDIA'],['Double Fans'],['1544 MHz'],['1 x DVI-D'],"['June 04, 2019']",['DirectX 12'],['3 x DisplayPort 1.4'],,,['8008 MHz'],,,['GeForce GTX 1060'],['NVIDIA GeForce GTX 10 Series'],,['1 x HDMI 2.0b'],['PCI Express 3.0 x16'],['252 mm'],,['192-Bit'],['6GB'],['GDDR5'],['VCGGTX10606XGPB-OC2'],['4'],['OpenGL 4.5'],,,,,['6-Pin'],,,['Dual Slot'],,['120W'],,"1,139 (70% Positive)"
['1708 MHz'],['ZOTAC'],['1280'],"['6.85"" x 4.38""']",['NVIDIA'],['Single Fan'],['1506 MHz'],['1 x Dual-link DVI-D'],"['October 01, 2019']",['DirectX 12'],['3 x DisplayPort 1.4'],['Yes'],,['8 GHz'],"['The GeForce GTX 1060 graphics card is loaded with innovative new gaming technologies and the groundbreaking NVIVIDIA Pascal architecture, making it the perfect choice for high-definition gaming in one of the smallest sizes.- Get up to 3X the performance and power efficiency of previous-generation GPUs.- Experience fast, smooth, power-efficient gaming experiences with ultra-fast FinFET technology, plus support for DirectX 12 features.- Tap into advanced graphics technologies like NVIDIA GameWorks that provide a more interactive and cinematic experience, as well as incredibly smooth gameplay.- Discover next-generation NVIDIA VRWorks technologies for low latency, plug-and-play compatibility, and amazing performance that lets you hear and feel every moment. PERFORMANCE- All-new NVIDIA Pascal architecture- Up to 3X faster than previous-generation graphics cards in VR gaming applications- Created with the new FinFET manufacturing processGAMING TECHNOLOGIES- Faster, smoother gameplay- Synchronized frame delivery- Revolutionary new image-capture technologyVIRTUAL REALITY (VR) - More immersive experiences- Reduced latency- Innovative new technologies, including audio, physics, and haptics']",,['GeForce GTX 1060'],['NVIDIA GeForce GTX 10 Series'],['Yes'],['1 x HDMI 2.0b'],['PCI Express 3.0'],['174 mm'],,['192-Bit'],['6GB'],['GDDR5'],['ZT-P10600A-10L'],['4'],['OpenGL 4.5'],['Microsoft Windows 10/8/7 x86/x64'],,['ZOTAC GeForce GTX 1060 Mini 6GBUser Manual'],,['6-Pin'],['No'],,['Dual Slot'],['Recommended Power Supply: 400WPower Consumption: 120W'],['120W'],['Yes'],(85)
['1847 MHz'],['EVGA'],['1280'],"['10.50"" x 4.38""']",['NVIDIA'],['Double Fans'],['1620 MHz'],['1 x Dual-Link DVI-D'],"['May 12, 2020']",['DirectX 12'],['3 x DisplayPort 1.4'],['Yes'],,['8008 MHz'],"['NVIDIA GameStream TechnologyNVIDIA G-SYNC ReadyOpenGL 4.5 SupportSimultaneous Multi-ProjectionVR ReadyNVIDIA AnselNVIDIA GPU Boost 3.0Microsoft DirectX 12Vulkan APIPCI Express 3.0Max Digital Resolution - 7680 x 4320HDMI 2.0b, DisplayPort 1.4 and Dual-Link DVIBuilt for EVGA Precision XOCEVGA ACX 3.0 Cooling']",,['GeForce GTX 1060'],['NVIDIA GeForce GTX 10 Series'],,['1 x HDMI 2.0b'],['PCI Express 3.0'],['267 mm'],['7680 x 4320'],['192-Bit'],['6GB'],['GDDR5'],['06G-P4-6268-KR'],['4'],['OpenGL 4.5'],"['Windows 10 32/64bit, Windows 8 32/64bit, Windows 7 32/64bit']",,,,['8-Pin'],,,['Dual Slot'],"['400W or greater power supply.PCI Express, PCI Express 2.0 or PCI Express 3.0 compliant motherboard with one graphics slot.']",['120W'],['Yes'],(10)
['1860 MHz'],['EVGA'],['1152'],"['10.50"" x 4.38""']",['NVIDIA'],['Double Fans'],['1632 MHz'],['1 x Dual-Link DVI-D'],"['December 21, 2018']",['DirectX 12'],['3 x DisplayPort 1.4'],['Yes'],,['8008 MHz'],"['NVIDIA GameStream TechnologyNVIDIA G-SYNC ReadyOpenGL 4.5 SupportSimultaneous Multi-ProjectionVR ReadyNVIDIA AnselNVIDIA GPU Boost 3.0Microsoft DirectX 12Vulkan APIPCI Express 3.0Max Digital Resolution - 7680 x 4320HDMI 2.0b, DisplayPort 1.4 and Dual-Link DVIBuilt for EVGA Precision XOCEVGA ACX 3.0 Cooling']",,['GeForce GTX 1060 FTW+ Gaming'],['NVIDIA GeForce GTX 10 Series'],,['1 x HDMI 2.0b'],['PCI Express 3.0'],['267 mm'],['7680 x 4320'],['192-Bit'],['3GB'],['GDDR5'],['03G-P4-6367-KR'],['4'],['OpenGL 4.5'],"['Windows 10 32/64bit, Windows 8 32/64bit, Windows 7 32/64bit']",,,,['8-Pin'],['No'],,['Dual Slot'],"['400W or greater power supply.PCI Express, PCI Express 2.0 or PCI Express 3.0 compliant motherboard with one graphics slot.']",['120W'],['Yes'],(5)
['1708 MHz'],['EVGA'],['1280'],"['10.50"" x 4.38""']",['NVIDIA'],['Double Fans'],['1506 MHz'],['1 x Dual-Link DVI-D'],"['May 12, 2020']",['DirectX 12'],['3 x DisplayPort 1.4'],['Yes'],,['8008 MHz'],"['PCI Express 3.0 ReadyNVIDIA GameStream TechnologyNVIDIAG-SYNC ReadyOptimized Power TargetOpenGL 4.5 SupportSimultaneous Multi-ProjectionVR ReadyNVIDIA AnselNVIDIA GPU Boost 3.0Microsoft DirectX 12Vulkan APIMax Digital Resolution - 7680 x 4320HDMI 2.0b, DisplayPort 1.4 and Dual-Link DVIBuilt for EVGA Precision XOCEVGA ACX3.0 Cooling']",,['GeForce GTX 1060'],['NVIDIA GeForce GTX 10 Series'],,['1 x HDMI 2.0b'],['PCI Express 3.0'],,['7680 x 4320'],['192-Bit'],['6GB'],['GDDR5'],['06G-P4-6266-KR'],,['OpenGL 4.5'],"['Windows 10 32/64bit, Windows 8 32/64bit, Windows 7 32/64bit']",,,,['8-Pin'],,,['Dual Slot'],"['500W or greater power supply.PCI Express, PCI Express 2.0 or PCI Express 3.0 com pliant motherboard with one graphics slot.']",['120W'],['Yes'],0 reviews
['OC Mode: 1797 MHzGaming Mode: 1771 MHz'],['GIGABYTE'],['1280'],"['8.78"" x 4.76""']",['NVIDIA'],['WINDFORCE 2X'],['OC Mode: 1582 MHzGaming Mode: 1556 MHz'],['2 x Dual-link DVI-D'],"['October 22, 2020']",['DirectX 12'],['1 x DisplayPort 1.4'],['Yes'],,['8008 MHz'],['Powered by GeForce GTX 1060Integrated with 6GB GDDR5 192-bit memoryWINDFORCE 2X with Blade Fan DesignSupport up to 8K display @60HzBuild with 4+1 power phases'],['ATX'],['GeForce GTX 1060'],['NVIDIA GeForce GTX 10 Series'],,['1 x HDMI 2.0b'],['PCI Express 3.0 x16'],['223 mm'],['7680 x 4320'],['192-Bit'],['6GB'],['GDDR5'],['GV-N1060WF2OC-6GD'],['4'],['OpenGL 4.5'],,,,,['6-Pin'],,,['Dual Slot'],['Recommended PSU: 400W'],['120W'],['Yes'],291 (90% Positive)
['1860 MHz in OC mode1835 MHz in Gaming mode'],['GIGABYTE'],['1280'],"['11.02"" x 4.37""']",['NVIDIA'],['Triple Fans'],['1632 MHz in OC mode1607 MHz in Gaming mode'],['1 x Dual-link DVI-D'],"['July 18, 2019']",['DirectX 12'],['3 x DisplayPort 1.4'],['Yes'],,['8008 MHz'],['Powered by GeForce GTX 1060Integrated with 6GB GDDR5 192-bit memoryWINDFORCE 3X with Blade Fan DesignAdvanced Copper Back Plate CoolingRGB Fusion - 16.7M customizable color lightingExtreme overclocking with 6+1 power phasesIntuitive AORUS Graphics Engine'],['ATX'],['GeForce GTX 1060'],['NVIDIA GeForce GTX 10 Series'],,['1 x HDMI 2.0b'],['PCI Express 3.0 x16'],['280 mm'],['7680 x 4320'],['192-Bit'],['6GB'],['GDDR5'],['GV-N1060AORUS-6GD (rev. 2.0)'],['4'],['OpenGL 4.5'],,,,,['8-Pin'],,['AORUS'],['Dual Slot'],['Recommended PSU: 400W'],['120W'],['Yes'],400 (90% Positive)
"['OC mode: 1873 MHzGaming mode (Default): 1847 MHz*Retail goods are with default Gaming Mode, OC Mode can be adjusted with one click on GPU Tweak II']",['ASUS'],['1280'],"['11.73"" x 5.28""']",['NVIDIA'],['Triple Fans'],['OC mode: 1645 MHzGaming mode (Default): 1620 MHz'],['1 x DVI-D'],"['November 21, 2019']",,['2 x DisplayPort 1.4'],,,['8208 MHz'],"['1873 MHz boost clock in OC mode for outstanding performance and gaming experience.DirectCU III with Unique Wing-Blade Fans for 30% cooler and 3X quieter performance.ASUS FanConnect features 4-pin GPU-controlled headers connected to system fans for optimal thermal performance.Industry Only Auto-Extreme Technology with Super Alloy Power II delivers premium quality and best reliability.Aura RGB Lighting to express personalized gaming style.VR-friendly HDMI ports for immersive virtual reality experiences.GPU Tweak II with Xsplit Gamecaster provides intuitive performance tweaking and lets you stream your gameplay instantly.NVIDIA ANSEL for a revolutionary new way to capture in-game screenshots.NVIDIA GameWorks provides an interactive and cinematic experience, as well as incredibly smooth gameplay.']",,['GeForce GTX 1060'],['NVIDIA GeForce GTX 10 Series'],['2.2'],['2 x HDMI 2.0b'],['PCI Express 3.0'],['298 mm'],['7680 x 4320'],['192-Bit'],['6GB'],['GDDR5'],['STRIX-GTX1060-O6G-GAMING'],,['OpenGL 4.5'],,,['Accessories:2 x ROG Cable Ties1 x CD1 x Quick Guide'],,['8-Pin'],['No'],['ROG'],['Dual Slot'],,['120W'],['Yes'],"12,049 (81% Positive)"
"['OC Mode: 1746 MHzGaming Mode (Default): 1708 MHz*Retail goods are with default Gaming Mode, OC Mode can be adjusted with one click on GPU Tweak II']",['ASUS'],['1280'],"['11.73"" x 5.28""']",['NVIDIA'],['Triple Fans'],['OC Mode: 1531 MHzGaming Mode (Default): 1506 MHz'],['1 x Native DVI-D'],"['December 18, 2019']",,['2 x Native DisplayPort 1.4'],,,['8008 MHz'],"['DirectCU III with Unique Wing-Blade Fans for 30% cooler and 3X quieter performance.ASUS FanConnect features 4-pin GPU-controlled headers connected to system fans for optimal thermal performance.Industry Only Auto-Extreme Technology with Super Alloy Power II delivers premium quality and best reliability.Aura RGB Lighting to express personalized gaming style.VR-friendly HDMI ports for immersive virtual reality experiences.GPU Tweak II with Xsplit Gamecaster provides intuitive performance tweaking and lets you stream your gameplay instantly.NVIDIA ANSEL for a revolutionary new way to capture in-game screenshots.NVIDIA GameWorks provides an interactive and cinematic experience, as well as incredibly smooth gameplay.']",,['GeForce GTX 1060'],['NVIDIA GeForce GTX 10 Series'],['Yes'],['2 x Native HDMI 2.0'],['PCI Express 3.0'],['298 mm'],['7680 x 4320'],['192-Bit'],['6GB'],['GDDR5'],['STRIX-GTX1060-6G-GAMING'],,['OpenGL 4.5'],,,['Accessory Bundled: 2 x ROG Cable TiesSoftware Bundled: ASUS GPU Tweak II & Driver'],,['8-Pin'],['No'],['ROG'],['Dual Slot'],,['120W'],['Yes'],(32)
['1873 MHz'],['ASUS'],['1280'],,['NVIDIA'],,['1645 MHz'],['DVI-D'],"['December 18, 2019']",['DirectX 12'],['2 x DisplayPort'],,,,,,['GeForce GTX 1060'],['NVIDIA GeForce GTX 10 Series'],,['2 x HDMI 2.0'],['PCI Express 3.0 x16'],,['7680 x 4320'],['192-Bit'],['6GB'],['GDDR5'],['90YV09Q0-M0NA00'],,['OpenGL 4.5'],,,,,,,,,,['120W'],,0 reviews
['1771 MHz in OC Mode1746 MHz in Gaming Mode'],['GIGABYTE'],['1152'],,['NVIDIA'],['Single Fan'],['1556 MHz in OC Mode1531 MHz in Gaming Mode'],['1 x Dual-Link DVI-D + DVI-D (iron case)'],"['April 09, 2019']",['DirectX 12'],['1 x DisplayPort'],['Yes'],,['8008 MHz'],['Powered by GeForce GTX 1060Integrated with 3GB GDDR5 192-bit memory90mm cooler with 3D active fanOne-click Super Overclocking17cm Compact Card Size'],['ATX'],['GeForce GTX 1060'],['NVIDIA GeForce GTX 10 Series'],,['1 x HDMI'],['PCI Express 3.0 x16'],,['7680 x 4320'],['192-Bit'],['3GB'],['GDDR5'],['GV-N1060IXOC-3GD'],['4'],['OpenGL 4.5'],,,,,['6-Pin'],,,['Dual Slot'],['System PSU Limitation: 400W'],['120W'],['Yes'],(23)
['OC Mode: 1847 MHzGaming Mode: 1809 MHz'],['GIGABYTE'],['1280'],"['10.94"" x 4.49""']",['NVIDIA'],['WINDFORCE 2X'],['OC Mode: 1620 MHzGaming Mode: 1594 MHz'],['1 x Dual-link DVI-D'],"['October 22, 2020']",['DirectX 12'],['3 x DisplayPort 1.4'],['Yes'],,['8008 MHz'],['Powered by GeForce GTX 1060Integrated with 6GB GDDR5 192-bit memoryWINDFORCE 2X with Blade Fan DesignSupport up to 8K display @60Hz16.8M Customizable Color RGB Lighting'],['ATX'],['GeForce GTX 1060'],['NVIDIA GeForce GTX 10 Series'],,['1 x HDMI 2.0b'],['PCI Express 3.0 x16'],['278 mm'],['7680 x 4320'],['192-Bit'],['6GB'],['GDDR5'],['GV-N1060G1 GAMING-6GD REV 2.0'],['4'],['OpenGL 4.5'],,,,,['8-Pin'],,,['Dual Slot'],['System PSU Limitation\t: 400WGPU (TDP): 120W (Real)Total Graphics Power (TGP): 155W (Real)'],['120W'],['Yes'],291 (90% Positive)
,['GIGABYTE'],,,,,,,"['September 09, 2019']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0 reviews
,['Zotac'],,,['NVIDIA'],['Double Fans'],,,"['May 21, 2020']",,,,['Air Cooler'],,,,['GeForce GTX 1060'],['NVIDIA GeForce GTX 10 Series'],,,['PCI Express 3.0 x16'],,,,['6GB'],,['GTX 1060 6GB'],,,,['ZT-P10600B-10M'],,,,['SLI Ready'],['AMP!'],,,['120W'],['Yes'],0 reviews
,['PNY'],,,['NVIDIA'],['Double Fans'],,,"['May 01, 2019']",,,,,,,,['GeForce GTX 1060'],['NVIDIA GeForce GTX 10 Series'],,,,,,,['3GB'],,,,,,,,,,,,,,['120W'],,291 (90% Positive)
,['ASUS'],,,['NVIDIA'],['Double Fans'],,,"['May 21, 2020']",,,,,,,,,,,,['PCI Express 3.0'],,,,['6GB'],,,,,,,,,,,,,,,,0 reviews
,,,,,['Double Fans'],,,"['January 24, 2020']",,,,,,,,,,,,,,,,['6GB'],,,,,,['1060 GAMING 6G'],,,,,,,,,,0 reviews
['1708 MHz'],['ASUS'],['1280'],"['7.20"" x 4.76""']",['NVIDIA'],['Phoenix Fan'],['1506 MHz'],['1 x Dual-link DVI-D'],"['September 12, 2020']",,['2 x DisplayPort 1.4'],['Yes'],,['8008 MHz'],['Powered by NVIDIA Pascal with a 1708 MHz boost clock in shorter form factorPhoenix double-ball bearing fan provides superior airflow and cooling with 2x longer lifespanAuto-extreme Manufacturing Technology delivers premium quality and reliability with aerospace-grade Super Alloy Power II components to run faster and last longer than referenceVR-ready dual HDMI ports to simultaneously connect a VR device and display for immersive VR experiencesGPU Tweak II with XSplit Gamecaster provides intuitive performance tweaking and real-time streaming'],,['GeForce GTX 1060'],['NVIDIA GeForce GTX 10 Series'],['Yes'],['2 x HDMI 2.0b'],['PCI Express 3.0'],['183 mm'],['7680 x 4320'],['192-Bit'],['6GB'],['GDDR5'],['PH-GTX1060-6G'],['4'],['OpenGL 4.5'],,,['Accessories:1 x CD1 x Quick Guide'],,['6-Pin'],['No'],['Phoenix'],['Dual Slot'],['Recommended PSU: 500W'],['120W'],['Yes'],0 reviews
,,,,,,,,"['August 05, 2020']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0 reviews
,,,,,,,,"['April 13, 2020']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0 reviews
,['EVGA'],,,,,,,"['May 06, 2019']",,,,,,,,,,,,,,,,,,['06G-P4-6163-KR'],,,,,,,,,,,,,,0 reviews
