3D VISION Game Ready ,Boost Clock ,Brand ,CUDA Cores ,Card Dimensions (L x H) ,Chipset Manufacturer ,Cooler ,Core Clock ,DVI ,Date First Available ,DirectX ,DisplayPort ,Dual-Link DVI Supported ,Effective Memory Clock ,Features ,GPU ,GPU Series ,HDCP Ready ,HDMI ,Interface ,Max Resolution ,Memory Interface ,Memory Size ,Memory Type ,Model ,OpenGL ,Package Contents ,Power Connector ,RAMDAC ,SLI Support ,Series ,Slot Width ,System Requirements ,TV-Out ,Thermal Design Power ,Tuner ,review_numbers
['Yes'],['993 MHz'],['EVGA'],['2304'],"['10.5""(L) x 4.4""(H)']",['NVIDIA'],['Single Fan'],['941 MHz'],['1 x DVI-I1 x DVI-D'],"['June 18, 2020']",['DirectX 11.1'],['1 x DisplayPort'],['Yes'],['6008 MHz'],"['NVIDIA TXAA TechnologyNVIDIA GPU Boost 2.0NVIDIA PhysX TechnologyNVIDIA FXAA TechnologyNVIDIA Adaptive Vertical SyncNVIDIA SurroundSupport for four concurrent displays;two dual-link DVI connectors, HDMI and Displayport 1.2Microsoft DirectX 11.1 API(feature level 11 0) with Direct Compute 5.0 supportNVIDIA 3D Vision-ReadyNVIDIA SLI-ReadyNVIDIA CUDA TechnologyPCI Express 3.0 SupportOpenGL 4.3 SupportOpenCL SupportNVIDIA SHIELD-Ready']",['GeForce GTX 780'],['NVIDIA GeForce GTX 700 Series'],,['1 x HDMI'],['PCI Express 3.0'],,['384-Bit'],['3GB'],['GDDR5'],['03G-P4-2785-RX'],['OpenGL 4.3'],,,,['SLI Ready'],['SuperClocked'],,['600 watt or greater power supply with a minimum of 42 amps on the +12 volt rail.'],,['250W'],,0 reviews
['Yes'],['902 MHz'],['PNY'],['2304'],"['10.5"" x 4.38""']",['NVIDIA'],['Single Fan'],['863 MHz'],['1 x DVI-I 1 x DVI-D'],"['January 29, 2020']",,['1 x DisplayPort'],['Yes'],['6008 MHz'],['NVIDIA GPU Boost 2.0NVIDIA Adaptive Vertical SyncNVIDIA Surroundâ„¢NVIDIA TXAATechnologyNVIDIA FXAATechnologySupport for four concurrent displays including:-Twodual-link DVI-HDMI 1.4b- DisplayPort 1.2Microsoft DirectX 11.1 (feature 11_0)NVIDIA PhysX technologyNVIDIA 3D Vision-Ready3-way NVIDIA SLI-ReadyNVIDIA CUDA technologyNVIDIA Shield-ReadyPCI Express 3.0 supportOpenGL4.3 supportOpenCL support'],['GeForce GTX 780'],['NVIDIA GeForce GTX 700 Series'],,['1 x HDMI'],['PCI Express 3.0 x16'],,['384-Bit'],['3GB'],['GDDR5'],['VCGGTX7803XPB'],['OpenGL 4.3'],,,,['3-Way SLI'],,['Dual Slot'],['250W-Active'],,['250W'],,(21)
['Yes'],['1046 MHz'],['PNY'],['2880'],"['11.3"" x  4.4""']",['NVIDIA'],['Triple Fans'],['980 MHz'],['1 x DVI-D1 x DVI-I'],"['December 10, 2019']",['DirectX 11.2'],['1 x DisplayPort'],['Yes'],['7000MHz'],['NVIDIA GPU Boost 2.0NVIDIA Adaptive Vertical SyncNVIDIA SurroundNVIDIA TXAA TechnologyNVIDIA FXAA TechnologySupport for four concurrent displays including:- Two dual-link DVI- HDMI 1.4b- DisplayPort 1.2 Microsoft DirectX 11.2 (feature 11_0)NVIDIA PhysX technologyNVIDIA 3D Vision-ReadyNVIDIA SLI-Ready technologyNVIDIA CUDA technologyPCI Express 3.0 supportOpenGL 4.4 supportOpenCL supportNVIDIA Shield -ReadyNVIDIA G-Sync -Ready'],['GeForce GTX 780 Ti'],['NVIDIA GeForce GTX 700 Series'],,['1 x HDMI'],['PCI Express 3.0 x16'],['4096 x 2160'],['384-Bit'],['3GB'],['GDDR5'],['VCGGTX780T3XPB-OC'],['OpenGL 4.4'],,,['400MHz'],['SLI Ready'],,['Dual Slot'],['Minimum 600W or greater system power supply (with a minimum 12V current rating of 42A)'],,['250W'],,(12)
['Yes'],['1046MHz'],['EVGA'],['2880'],"['10.5"" x 4.38""']",['NVIDIA'],['Single Fan'],['980MHz'],['1 x DVI-D1 x DVI-I'],"['November 19, 2019']",['DirectX 12 (feature level 11_0)'],['1 x DisplayPort'],['Yes'],['7000MHz'],"['NVIDIA TXAA TechnologyNVIDIA GPU Boost 2.0NVIDIA PhysX TechnologyNVIDIA FXAA TechnologyNVIDIA Adaptive Vertical SyncNVIDIA SurroundSupport for four concurrent displays; two dual-link DVI connectors, HDMI and Displayport 1.2NVIDIA 3D Vision-ReadyNVIDIA SLI-Ready TechnologyNVIDIA CUDA TechnologyOpenGL 4.4 SupportOpenCL SupportNVIDIA SHIELD-ReadyNVIDIA G-Sync-Ready']",['GeForce GTX 780 Ti Superclocked'],['NVIDIA GeForce GTX 700 Series'],,['1 x HDMI'],['PCI Express 3.0'],['4096 x 2160'],['384-Bit'],['3GB'],['GDDR5'],['03G-P4-2883-KR'],['OpenGL 4.4'],['EVGA GeForce GTX 780 Ti Superclocked Video CardEVGA Driver/Software Disc1 x DVI to VGA Adapter (For DVI-I)1 x 6 pin PCI-E Power Adapter 1 x 8 pin PCI-E Power AdapterEVGA Accessory PackUser Guide'],,['400MHz'],['SLI Ready'],,['Dual Slot'],['600 watt or greater power supply with a minimum of 42 amps on the +12 volt rail.'],,['250W'],,(71)
['Yes'],['928MHz'],['EVGA'],['2880'],"['10.5"" x 4.38""']",['NVIDIA'],['Single Fan'],['876MHz'],['1 x DVI-D1 x DVI-I'],"['January 21, 2020']",['DirectX 12 (feature level 11_0)'],['1 x DisplayPort'],['Yes'],['7000MHz'],"['NVIDIA TXAA TechnologyNVIDIA GPU Boost 2.0NVIDIA PhysX TechnologyNVIDIA FXAA TechnologyNVIDIA Adaptive Vertical SyncNVIDIA SurroundSupport for four concurrent displays; two dual-link DVI connectors, HDMI and Displayport 1.2NVIDIA 3D Vision-ReadyNVIDIA SLI-Ready TechnologyNVIDIA CUDA TechnologyOpenGL 4.4 SupportOpenCL SupportNVIDIA SHIELD-ReadyNVIDIA G-Sync-Ready']",['GeForce GTX 780 Ti'],['NVIDIA GeForce GTX 700 Series'],,['1 x HDMI'],['PCI Express 3.0'],['4096 x 2160'],['384-Bit'],['3GB'],['GDDR5'],['03G-P4-2881-KR'],['OpenGL 4.4'],['EVGA GeForce GTX 780 Ti Video CardEVGA Driver/Software Disc1 x DVI to VGA Adapter (For DVI-I)1 x 6 pin PCI-E Power Adapter 1 x 8 pin PCI-E Power AdapterEVGA Accessory PackUser Guide'],,['400MHz'],['SLI Ready'],,['Dual Slot'],['500 watt or greater power supply with a minimum of 42 amps on the +12 volt rail'],,['250W'],,(33)
['Yes'],['1072MHz'],['EVGA'],['2880'],"['10.5"" x 4.4""']",['NVIDIA'],['EVGA ACX Cooler'],['1006 MHz'],['1 x DVI-I1 x DVI-D'],"['March 12, 2019']",['DirectX 12 (feature level 11_0)'],['1 x DisplayPort'],['Yes'],['7000MHz'],"['NVIDIA TXAA Technology NVIDIA GPU Boost 2.0NVIDIA PhysX TechnologyNVIDIA FXAA TechnologyNVIDIA Adaptive Vertical Sync NVIDIA SurroundSupport for four concurrent displays; two dual-link DVI connectors, HDMI and Displayport 1.2NVIDIA 3D Vision-ReadyNVIDIA SLI-Ready TechnologyNVIDIA CUDA TechnologyPCI Express 3.0 SupportOpenGL 4.4 SupportOpenCL SupportNVIDIA SHIELD-ReadyNVIDIA G-Sync-Ready']",['GeForce GTX 780 Ti Superclocked'],['NVIDIA GeForce GTX 700 Series'],,['1 x HDMI'],['PCI Express 3.0'],['4096 x 2160'],['384-Bit'],['3GB'],['GDDR5'],['03G-P4-2884-KR'],['OpenGL 4.4'],['EVGA 03G-P4-2884-KR Video CardEVGA Driver/Software Disc1 x DVI to VGA Adapter (For DVI-I)1 x 6 pin PCI-E Power Adapter 1 x 8 pin PCI-E Power AdapterEVGA Accessory PackUser Guide'],,['400MHz'],['SLI Ready'],,['Dual Slot'],['600 watt or greater power supply with a minimum of 42 amps on the +12 volt rail.One 8-pin PCI Express power connector or two available 6-pin PCI Express power connectors and one 6-pin PCI Express power connector or two available hard disk power connectors.'],,['250W'],,(119)
['Yes'],['1085MHz'],['EVGA'],['2880'],"['11"" x 5.9""']",['NVIDIA'],['EVGA ACX Cooler'],['1020MHz'],['1 x DVI-D1 x DVI-I'],"['March 07, 2019']",['DirectX 12 (feature level 11_0)'],['1 x DisplayPort'],['Yes'],['7000MHz'],"['NVIDIA TXAA TechnologyNVIDIA GPU Boost 2.0NVIDIA PhysX TechnologyNVIDIA FXAA TechnologyNVIDIA Adaptive Vertical SyncNVIDIA SurroundSupport for four concurrent displays; two dual-link DVI connectors, HDMI and DisplayPort 1.2NVIDIA 3D Vision-ReadyNVIDIA SLI-Ready TechnologyNVIDIA CUDA TechnologyPCI Express 3.0 SupportOpenGL 4.4 SupportOpenCL SupportNVIDIA SHIELD-ReadyNVIDIA G-Sync-Ready']",['GeForce GTX 780 Ti'],['NVIDIA GeForce GTX 700 Series'],,['1 x HDMI'],['PCI Express 3.0'],['4096 x 2160'],['384-Bit'],['3GB'],['GDDR5'],['03G-P4-2888-KR'],['OpenGL 4.4'],['EVGA 03G-P4-2888-KR Video CardEVGA Driver/Software Disc1 x DVI to VGA Adapter (For DVI-I)2 x 8 pin PCI-E Power Adapter EVGA Accessory PackUser Guide'],,['400MHz'],['SLI Ready'],,['Dual Slot'],['600 watt or greater power supply with a minimum of 42 amps on the +12 volt rail.Two 8-pin PCI Express power connectors or four available 6-pin PCI Express power.'],,['250W'],,(61)
['Yes'],['941MHz'],['ASUS'],['2304'],"['11.3"" x 5.8"" x 1.6""']",['NVIDIA'],['Double Fans'],['889MHz'],['2 x DVI'],"['May 05, 2019']",['DirectX 11.1'],['1 x DisplayPort'],['Yes'],['6008 MHz'],"['DirectCU II achieves 30% lower temps with 220% the dissipation area, plus 3X quieter running than referenceExclusive CoolTech Fan drives wider airflow to keep critical components coolDIGI+ VRM with 10-phase Super Alloy Power delivers precise digital power for superior efficiency, reliability, and performanceGPU Tweak helps you modify clock speeds, voltages, fan performance and more, all via an intuitive interface']",['GeForce GTX 780'],['NVIDIA GeForce GTX 700 Series'],['Yes'],['1 x HDMI'],['PCI Express 3.0'],,['384-Bit'],['3GB'],['GDDR5'],['GTX780-DC2OC-3GD5'],['OpenGL 4.3'],,['6-Pin / 8-Pin'],,['SLI Ready'],,['Dual Slot'],['up to 300W Power Consumption'],,['250W'],['None'],29 (90% Positive)
,['1085MHz'],['GIGABYTE'],['2880'],,['NVIDIA'],['WINDFORCE 3X'],['1020MHz'],['1 x DVI-I1 x DVI-D'],"['October 08, 2019']",,['1 x DisplayPort'],,['7000MHz'],,['GeForce GTX 780 Ti'],['NVIDIA GeForce GTX 700 Series'],['Yes'],['1 x HDMI'],['PCI Express 3.0'],,['384-Bit'],['3GB'],['GDDR5'],['GV-N78TOC-3GD'],,,,,,,,,,['250W'],,0 reviews
['Yes'],['902MHz'],['EVGA'],['2304'],"['10.5"" x 4.4""']",['NVIDIA'],['Single Fan'],['863MHz'],['1 x DVI-I1 x DVI-D'],"['January 16, 2019']",['DirectX 12 (feature level 11_0)'],['1 x DisplayPort'],['Yes'],['6008 MHz'],"['NVIDIA TXAA TechnologyNVIDIA GPU Boost 2.0NVIDIA PhysX TechnologyNVIDIA FXAA TechnologyNVIDIA Adaptive Vertical SyncNVIDIA SurroundSupport (or four concurrent displays; two dual-link DVI connectors, HDMI and Displayport 1.2NVIDIA 3D Vision ReadyNVIDIA SLI ReadyNVIDIA CUDA TechnologyPCI Express 3.0 SupportOpenGL 4.3 SupportOpenCL SupportNVIDIA SHIELD Ready']",['GeForce GTX 780'],['NVIDIA GeForce GTX 700 Series'],,['1 x HDMI'],['PCI Express 3.0'],,['384-Bit'],['3GB'],['GDDR5'],['03G-P4-2781-KR'],['OpenGL 4.3'],['EVGA GTX 780 Video CardEVGA Driver/Software Disc 1 x DVI to VGA Adapter (For DVI-I) 1 x 6 pin PCI-E Power Adapter 1 x 8 pin PCI-E Power Adapter EVGA Accessory Pack User Guide'],,,['SLI Ready'],,,['600 watt or greater power supply with a minimum of 42 amps on the +12 volt rail.'],,['250W'],,29 (90% Positive)
['Yes'],['993 MHz'],['EVGA'],['2304'],"['10.5"" x 4.4""']",['NVIDIA'],['Single Fan'],['941 MHz'],['1 x DVI-I1 x DVI-D'],"['November 13, 2018']",['DirectX 12 (feature level 11_0)'],['1 x DisplayPort'],['Yes'],['6008 MHz'],"['NVIDIA TXAA TechnologyNVIDIA GPU Boost 2.0NVIDIA PhysX TechnologyNVIDIA FXAA TechnologyNVIDIA Adaptive Vertical SyncNVIDIA SurroundSupport (or four concurrent displays; two dual-link DVI connectors, HDMI and Displayport 1.2NVIDIA 3D Vision ReadyNVIDIA SLI ReadyNVIDIA CUDA TechnologyPCI Express 3.0 SupportOpenGL 4.3 SupportOpenCL SupportNVIDIA SHIELD Ready']",['GeForce GTX 780'],['NVIDIA GeForce GTX 700 Series'],,['1 x HDMI'],['PCI Express 3.0'],,['384-Bit'],['3GB'],['GDDR5'],['03G-P4-2783-KR'],['OpenGL 4.3'],['EVGA GTX 780 Superclocked Video CardEVGA Driver/Software Disc 1 x DVI to VGA Adapter (For DVI-I) 1 x 6 pin PCI-E Power Adapter 1 x 8 pin PCI-E Power Adapter EVGA Accessory Pack User Guide'],,,['SLI Ready'],['GeForce GTX 700 SuperClocked'],,['600 watt or greater power supply with a minimum of 42 amps on the +12 volt rail.'],,['250W'],,0 reviews
['Yes'],['1046MHz'],['EVGA'],['2304'],"['10.5"" x 4.38""']",['NVIDIA'],['Double Fans'],['993MHz'],['2 x DVI'],"['March 12, 2019']",['DirectX 12 (feature level 11_0)'],['1 x DisplayPort'],['Yes'],['6008 MHz'],"['NVIDIA TXAA TechnologyNVIDIA GPU Boost 2.0NVIDIA PhysX TechnologyNVIDIA FXAA TechnologyNVIDIA Adaptive Vertical SyncNVIDIA SurroundSupport for four concurrent displays;two dual-link DVI connectors, HDMI and Displayport 1.2NVIDIA 3D Vision-ReadyNVIDIA SLI-ReadyNVIDIA CUDA TechnologyPCI Express 3.0 SupportOpenGL 4.3 SupportOpenCL SupportNVIDIA SHIELD-Ready']",['GeForce GTX 780'],['NVIDIA GeForce GTX 700 Series'],,['1 x HDMI'],['PCI Express 3.0'],['4096 x 2160'],['384-Bit'],['3GB'],['GDDR5'],['03G-P4-3788-KR'],['OpenGL 4.3'],['EVGA GeForce GTX 780 Classified w/ EVGA ACX Cooler Video CardEVGA Driver/Software Disc(1) DVI to VGA Adapter (For DVI-I)(2) 8 pin PCI-E Power Adapters EVGA Accessory PackUser Guide'],,['400MHz'],['SLI Ready'],,['Dual Slot'],"['600 watt or greater power supply with a minimum of 42 amps on the +12 volt rail.PCI Express, PCI Express 2.0 or PCI Express 3.0 compliant motherboard with one graphics slot.Two 8-pin PCI Express power connectors or four available 6-pin PCI Express power connectors.']",['1 x DVI-I1 x DVI-D'],['250W'],,(85)
['Yes'],['1033MHz'],['EVGA'],['2304'],"['10.5"" x 4.38""']",['NVIDIA'],['Double Fans'],['980MHz'],['1 x DVI-I1 x DVI-D'],"['February 08, 2019']",['DirectX 12 (feature level 11_0)'],['1 x DisplayPort'],['Yes'],['6008 MHz'],"['NVIDIA TXAA TechnologyNVIDIA GPU Boost 2.0NVIDIA PhysX TechnologyNVIDIA FXAA TechnologyNVIDIA Adaptive Vertical SyncNVIDIA SurroundSupport for four concurrent displays;two dual-link DVI connectors, HDMI and Displayport 1.2NVIDIA 3D Vision-ReadyNVIDIA SLI-ReadyNVIDIA CUDA TechnologyPCI Express 3.0 SupportOpenGL 4.3 SupportOpenCL SupportNVIDIA SHIELD-Ready']",['GeForce GTX 780'],['NVIDIA GeForce GTX 700 Series'],,['1 x HDMI'],['PCI Express 3.0'],['4096 x 2160'],['384-Bit'],['3GB'],['GDDR5'],['03G-P4-3784-KR'],['OpenGL 4.3'],['EVGA 03G-P4-3784-KR Video CardEVGA Driver/Software Disc 1 x DVI to VGA Adapter (For DVI-I) 1 x 6 pin PCI-E Power Adapter 1 x 8 pin PCI-E Power Adapter EVGA Accessory Pack User Guide'],,['400MHz'],['SLI Ready'],,['Dual Slot'],"['600 watt or greater power supply with a minimum of 42 amps on the +12 volt rail.PCI Express, PCI Express 2.0 or PCI Express 3.0 compliant motherboard with one graphics slot.One 8-pin PCI Express power connector or two available 6-pin PCI Express power connectors and one 6-pin PCI Express power connector or two available hard disk power connectors.']",,['250W'],,(116)
['Yes'],['941MHz'],['ASUS'],['2304'],"['11.3"" x 5.8""']",['NVIDIA'],['Double Fans'],['889MHz'],['2 x DVI'],"['March 04, 2019']",['DirectX 11.1'],['1 x DisplayPort'],['Yes'],['6008 MHz'],"['DirectCU II achieves 30% lower temps with 220% the dissipation area, plus 3X quieter running than referenceExclusive CoolTech Fan drives wider airflow to keep critical components coolDIGI+ VRM with 10-phase Super Alloy Power delivers precise digital power for superior efficiency, reliability, and performanceGPU Tweak helps you modify clock speeds, voltages, fan performance and more, all via an intuitive interface']",['GeForce GTX 780'],['NVIDIA GeForce GTX 700 Series'],['Yes'],['1 x HDMI'],['PCI Express 3.0'],['4096 x 2160'],['384-Bit'],['3GB'],['GDDR5'],['GTX780-DC2OC-3GD5'],['OpenGL 4.3'],,['6-Pin / 8-Pin'],['400MHz'],['SLI Ready'],,['Dual Slot'],['up to 300W Power Consumption'],,['250W'],,0 reviews
['Yes'],['1020 MHz'],['ASUS'],['2880'],"['11.3"" x 5.8""']",,['With Fan'],['954 MHz'],['1 x DVI-I 1 x DVI-D'],"['September 19, 2017']",['DirectX 11.2'],['1 x DisplayPort'],['Yes'],['7000 MHz'],"['DirectCU II offers 20% cooler and 3X quieter performance. Exclusive CoolTech Fan drives wider airflow to keep critical components cool. 1020 MHz boost clock for better performance and outstanding gaming experience. DIGI+ VRM with 10 phase Super Alloy Power delivers precise digital power for superior efficiency, reliability, and performance. GPU Tweak helps you modify clock speeds, voltages, fan performance and more, all via an intuitive interface. GPU Tweak helps you modify clock speeds, voltages, fan performance and more, all via an intuitive interface. 6% faster game performance than reference GeForce GTX 780 Ti in BattleField 4.']",['GeForce GTX 780 Ti'],['NVIDIA GeForce GTX 700 Series'],['Yes'],['1 x HDMI'],['PCI Express 3.0'],['4096 x 2160'],['384-Bit'],['3GB'],['GDDR5'],['GTX780TI-DC2OC-3GD5'],['OpenGL 4.4'],,,['400MHz'],['SLI Ready'],['DirectCU II'],['Dual Slot'],['Up to 375W additional 8+8 pin PCIe power required'],,['250W'],,0 reviews
['Yes'],['1020 MHz'],['EVGA'],['2304'],"['10.5 x 4.4""']",['NVIDIA'],['Double Fans'],['967 MHz'],['2 x DVI'],"['October 07, 2020']",['DirectX 12 (feature level 11_0)'],,,['6008 MHz'],,['GeForce GTX 780'],['NVIDIA GeForce GTX 700 Series'],,['1 x HDMI'],['PCI Express 3.0'],['4096 x 2160'],['384-Bit'],['6GB'],['GDDR5'],['06G-P4-3787-KR'],['OpenGL 4.4'],,['6-Pin / 8-Pin'],['400MHz'],['SLI Ready'],,['Dual Slot'],['600 watt or greater power supply with a minimum of 42 amps on the +12 volt rail.'],,['250W'],,29 (90% Positive)
