Boost Clock ,Brand ,CUDA Cores ,Card Dimensions (L x H) ,Chipset Manufacturer ,Cooler ,Core Clock ,Date First Available ,DirectX ,DisplayPort ,Effective Memory Clock ,Features ,Form Factor ,GPU ,GPU Series ,HDCP Ready ,HDMI ,Interface ,Max GPU Length ,Max Resolution ,Memory Interface ,Memory Size ,Memory Type ,Model ,Multi-Monitor Support ,OpenGL ,Operating Systems Supported ,Other Ports ,Package Contents ,Power Connector ,SLI Support ,Series ,Slot Width ,System Requirements ,Thermal Design Power ,Thunderbolt 3 ,Virtual Reality Ready ,review_numbers
['1860 MHz'],['MSI'],['2944'],"['12.87"" x 5.51""']",['NVIDIA'],['Triple Fans'],['1515 MHz'],"['August 30, 2020']",['DirectX 12'],['3 x DisplayPort 1.4'],['14 Gbps'],"['TORX FAN 3.0: Supremely silent- Dispersion fan blade: Steeper curved blade accelerating the airflow.- Traditional fan blade: Provides steady airflow to massive heat sink below.- Double ball bearing: Strong and lasting core for years of smooth gaming.TRI-FROZR Thermal Design- Using three of the award-winning TORX Fans 3.0 with Double Ball Bearings.- Using groundbreaking aerodynamic techniques, the heatsink is optimized for efficient heat dissipation.RGB Mystic Light- Customize colors and LED effects with exclusive MSI software and synchronize the look & feel with other components.Afterburner Overclocking Utility- Wireless control through Android/iOS devices.- Predator: In-game video recording.- Kombustor: DirectX12 benchmark.- Supports multi-GPU setups.Dragon Center- 1 click to optimize all you need for smooth gaming.']",,['GeForce RTX 2080'],['NVIDIA GeForce RTX 20 Series'],['2.2'],['1 x HDMI 2.0b'],['PCI Express 3.0 x16'],['327 mm'],['7680 x 4320'],['256-Bit'],['8GB'],['GDDR6'],['RTX 2080 GAMING X TRIO'],['4'],['OpenGL 4.5'],,['1 x USB Type-C'],['Accessories: 1 x 6-pin to 8-pin power cable1 x Graphics Card Support Bracket'],['2 x 8-Pin'],['2-Way SLI'],,,['Recommended PSU: 650W'],['260W'],,['Yes'],0 reviews
['OC Mode: 1560 MHz Gaming Mode (Default): 1545 MHz'],['ASUS'],['4352'],"['12.00"" x 5.13""']",['NVIDIA'],['Triple Fans'],['1350 MHz'],"['October 28, 2020']",['DirectX 12'],['2 x DisplayPort 1.4'],['14000 MHz'],"[""NVIDIA TURING: ROG GeForce RTX graphics cards are powered by the Turing GPU architecture and the all-new RTX platform. This gives you up to 6X the performance of previous-generation graphics cards and brings the power of real-time ray tracing and AI to games.DirectX 12: Power new visual effects and rendering techniques for more lifelike gaming.4K: Step up to the ultimate 4K gaming experience with GeForce RTX and enjoy today's biggest games in amazing detail.Axial-tech Fans feature an all-around better design and IP5X dust resistance.2.7-Slot Design expands cooling surface area by over 20% compared to last gen.MaxContact Technology allows 2X more contact with the GPU chip for improved thermal transfer.Auto-Extreme Technology uses automation to enhance reliability.Super Alloy Power II includes premium alloy chokes, solid polymer capacitors, and an array of high-current power stages to fuel Turing's cores.ASUS FanConnect II equips 2 hybrid-controlled fan headers for optimal system cooling.GPU Tweak II provides intuitive performance tweaking and thermal controls.""]",,['GeForce RTX 2080 Ti'],['NVIDIA GeForce RTX 20 Series'],['2.2'],['2 x HDMI 2.0b'],['PCI Express 3.0'],['305 mm'],['7680 x 4320'],['352-Bit'],['11GB'],['GDDR6'],['ROG-STRIX-RTX2080TI-11G-GAMING'],['4'],['OpenGL 4.6'],,['1 x USB Type-C'],['Accessories:1 x Quick Guide1 x ROG Velcro Hook & Loop1 x CD'],['2 x 8-Pin'],['SLI Ready'],['ROG Strix'],['2.7-slot'],['Recommended PSU: 650W'],['250W'],,['Yes'],883 (79% Positive)
,['GIGABYTE'],['3072'],"['11.28"" x 4.51""']",['NVIDIA'],['WINDFORCE 3X'],['1845 MHz'],"['October 29, 2020']",['DirectX 12'],['3 x DisplayPort 1.4'],['15500 MHz'],['Powered by GeForce RTX 2080 SUPERIntegrated with 8GB GDDR6 256-bit memory interfaceWINDFORCE 3X Cooling System with alternate spinning fansRGB Fusion 2.0 - synchronize with other AORUS devicesMetal Back Plate'],['ATX'],['GeForce RTX 2080 SUPER'],,,['1 x HDMI 2.0b'],['PCI Express 3.0 x16'],['287 mm'],['7680 x 4320 @ 60 Hz'],['256-Bit'],['8GB'],['GDDR6'],['GV-N208SGAMING OC-8GC rev. 2.0'],['4'],['OpenGL 4.5'],,['1 x USB Type-C (support VirtualLink)'],['Accessories:Quick guideDriver CD'],"['1 x 6-Pin, 1 x 8-Pin']",['2-way NVIDIA NVLINK'],,['2.5 Slot'],['Recommended PSU: 650W'],['250W'],,['Yes'],17 (82% Positive)
['1545 MHz'],['EVGA'],['4352'],"['10.60"" x 4.50""']",['NVIDIA'],['Double Fans'],,"['October 02, 2020']",['DirectX 12'],['3 x DisplayPort 1.4'],['14000 MHz'],"['VR ReadyNVIDIA AnselAdjustable RGB LEDAll-Metal Backplate, Pre-InstalledReal-Time Ray TracingNVIDIA GeForce ExperienceNVIDIA HighlightsNVIDIA G-SYNC CompatibleGame Ready DriversDisplayPort 1.4, HDMI 2.0bHDCP 2.2NVIDIA GPU BoostBuilt for EVGA Precision X1Designed for USB Type-C and VirtualLinkMicrosoft DirectX 12 Ultimate, Vulkan, OpenGL 4.6']",,['GeForce RTX 2080 Ti'],['NVIDIA GeForce RTX 20 Series'],['2.2'],['1 x HDMI 2.0b'],['PCI Express 3.0'],['269 mm'],['7680 x 4320'],['352-Bit'],['11GB'],['GDDR6'],['11G-P4-2281-RX'],['4'],['OpenGL 4.6'],"['Windows 10 64-bit, Windows 8.1 64-bit, Windows 7 64-bit']",['1 x USB Type-C'],,['Two available 8-pin or 6+2-pin PCIe power connectors'],['SLI Ready'],,['Dual Slot'],"['650W or greater power supplyPCI Express, PCI Express 2.0 or PCI Express 3.0 compliant motherboard with one graphics slot']",['300W'],,['Yes'],(4)
['1755 MHz'],['MSI'],['4352'],"['12.87"" x 5.51""']",['NVIDIA'],['Triple Fans'],['1350 MHz'],"['October 27, 2020']",['DirectX 12'],['3 x DisplayPort 1.4'],['14 Gbps'],['TORX FAN 3.0: Supremely silent- Dispersion fan blade: Steeper curved blade accelerating the airflow.- Traditional fan blade: Provides steady airflow to massive heat sink below.- Double ball bearing: Strong and lasting core for years of smooth gaming.Dragon Center- 1 click to optimize all you need for smooth gaming.'],,['GeForce RTX 2080 Ti'],['NVIDIA GeForce RTX 20 Series'],['2.2'],['1 x HDMI 2.0b'],['PCI Express 3.0 x16'],['327 mm'],['7680 x 4320'],['352-Bit'],['11GB'],['GDDR6'],['RTX 2080 TI GAMING X TRIO'],['4'],['OpenGL 4.5'],,['1 x USB Type-C'],,"['2 x 8-pin, 1 x 6-pin']","['NVIDIA NVLINK (SLI-Ready), 2-way']",,,['Recommended PSU: 650W'],['300W'],,['Yes'],44 (64% Positive)
['OC Mode: 1665 MHzGaming Mode: 1650 MHz'],['ASUS'],['4352'],"['12.00"" x 5.13""']",['NVIDIA'],['Triple Fans'],['1350 MHz'],"['October 28, 2020']",['DirectX 12'],['2 x DisplayPort 1.4'],['14000 MHz'],"[""NVIDIA TURING: ROG GeForce RTX graphics cards are powered by the Turing GPU architecture and the all-new RTX platform. This gives you up to 6X the performance of previous-generation graphics cards and brings the power of real-time ray tracing and AI to games.DirectX 12: Power new visual effects and rendering techniques for more lifelike gaming.4K: Step up to the ultimate 4K gaming experience with GeForce RTX and enjoy today's biggest games in amazing detail.Axial-tech Fans feature an all-around better design and IP5X dust resistance.2.7-Slot Design expands cooling surface area by over 20% compared to last gen.MaxContact Technology allows 2X more contact with the GPU chip for improved thermal transfer.Auto-Extreme Technology uses automation to enhance reliability.Super Alloy Power II includes premium alloy chokes, solid polymer capacitors, and an array of high-current power stages to fuel Turing's cores.ASUS FanConnect II equips 2 hybrid-controlled fan headers for optimal system cooling.GPU Tweak II provides intuitive performance tweaking and thermal controls.""]",,['GeForce RTX 2080 Ti'],['NVIDIA GeForce RTX 20 Series'],['2.2'],['2 x HDMI 2.0b'],['PCI Express 3.0'],['305 mm'],['7680 x 4320'],['352-Bit'],['11GB'],['GDDR6'],['ROG-STRIX-RTX2080TI-O11G-GAMING'],['4'],['OpenGL 4.6'],,['1 x USB Type-C'],['Accessories:1 x CD1 x Quick Guide1 x ROG Velcro Hook & Loop'],['2 x 8-Pin'],['SLI Ready'],['ROG Strix'],['2.7-slot'],['Recommended PSU: 650W'],['250W'],,['Yes'],883 (79% Positive)
,['GIGABYTE'],['4352'],"['11.28"" x 4.51""']",['NVIDIA'],['WINDFORCE 3X'],['1665 MHz in OC mode1650 MHz in Gaming mode'],"['October 29, 2020']",['DirectX 12'],['3 x DisplayPort 1.4'],['14000 MHz'],['Powered by GeForce RTX 2080 TiIntegrated with 11GB GDDR6 352-bit memory interfaceWINDFORCE 3X Cooling System with alternate spinning fansRGB Fusion 2.0 - synchronize with other AORUS devicesMetal Back Plate'],['ATX'],['GeForce RTX 2080 Ti'],['NVIDIA GeForce RTX 20 Series'],,['1 x HDMI 2.0b'],['PCI Express 3.0 x16'],['287 mm'],['7680 x 4320 @ 60 Hz'],['352-Bit'],['11GB'],['GDDR6'],['GV-N208TGAMING OC-11GC'],['4'],['OpenGL 4.6'],,['1 x USB Type-C (support VirtualLink)'],,['2 x 8-Pin'],['2-way NVIDIA NVLINK'],,,['Recommended PSU: 650W'],['250W'],,['Yes'],17 (82% Positive)
['1800 MHz'],['MSI'],['2944'],"['10.55"" x 4.49""']",['NVIDIA'],['Double Fans'],['1515 MHz'],"['August 31, 2020']",['DirectX 12'],['3 x DisplayPort 1.4'],['14 Gbps'],"[""Customized Dual Fan Design:Double ball bearing: Strong and lasting core for years of smooth gaming.Smooth Heat Pipes: Squared shape at bottom maximize heat transfer from the copper base plate.Zero Frozr: Stopping the fan in low-load situations, keeping a noise-free environment.Afterburner Overclocking Utility:Wireless control through Android/iOS devices.Predator: In-game video recording.Kombustor: DirectX12 benchmark.Supports multi-GPU setups.NVIDIA G-SYNC:Synchronizes the display refresh to your GeForce GTX GPU for the fast, smooth gaming.GeForce RTX VR Ready:NVIDIA's unique set of features ensure you get the right level of performance, image quality and latency to ensure your VR experience is nothing short of amazing.""]",,['GeForce RTX 2080'],['NVIDIA GeForce RTX 20 Series'],['2.2'],['1 x HDMI 2.0b'],['PCI Express 3.0 x16'],['268 mm'],['7680 x 4320'],['256-Bit'],['8GB'],['GDDR6'],['RTX 2080 VENTUS 8G OC'],['4'],['OpenGL 4.5'],,['1 x USB Type-C'],,"['1 x 8-pin, 1 x 6-pin']",['2-Way SLI'],,,['Recommended PSU: 650W'],['225W'],,['Yes'],0 reviews
['1650 MHz'],['EVGA'],['4352'],"['10.62"" x 4.38""']",['NVIDIA'],['Double Fans'],,"['May 27, 2020']",['DirectX 12'],['3 x DisplayPort 1.4'],['14000 MHz'],"['NVIDIA AnselAdjustable RGB LEDReal-Time Ray TracingNVIDIA GeForce ExperienceNVIDIA HighlightsNVIDIA G-SYNC CompatibleGame Ready DriversDisplayPort 1.4, HDMI 2.0bHDCP 2.2NVIDIA GPU BoostBuilt for EVGA Precision X1Designed for USB Type-C and VirtualLinkMicrosoft DirectX 12 Ultimate, Vulkan, OpenGL 4.6']",,['GeForce RTX 2080 Ti'],['NVIDIA GeForce RTX 20 Series'],['2.2'],['1 x HDMI 2.0b'],['PCI Express 3.0'],['270 mm'],['7680 x 4320'],['352-Bit'],['11GB'],['GDDR6'],['11G-P4-2383-RX'],['4'],['OpenGL 4.6'],"['Windows 10 64-bit, Windows 7 64-bit']",['1 x USB TYPE-C'],,['2 x 8-Pin'],['2-Way SLI'],,['2.75 Slots'],"['650-Watt or greater power supply. PCI Express, PCI Express 2.0 or PCI Express 3.0 compliant motherboard with one graphics slot. Two available 8-pin or 6+2-pin PCI-E power dongles.']",['250W'],,['Yes'],"1,251 (88% Positive)"
,['GIGABYTE'],['3072'],"['11.26"" x 4.49""']",['NVIDIA'],['WINDFORCE 3X'],['1830 MHz'],"['October 09, 2020']",['DirectX 12'],['3 x DisplayPort 1.4'],['15500 MHz'],['Powered by GeForce RTX 2080 SUPERIntegrated with 8GB GDDR6 256-bit memory interfaceWINDFORCE 3X Cooling System with alternate spinning fansExtreme Durability and OverclockingProtection Metal Back Plate'],['ATX'],['GeForce RTX 2080 SUPER'],,,['1 x HDMI 2.0b'],['PCI Express 3.0 x16'],['286 mm'],['7680 x 4320 @ 60 Hz'],['256-Bit'],['8GB'],['GDDR6'],['GV-N208SWF3OC-8GD'],['4'],['OpenGL 4.6'],,,['Accessories:Quick guideDriver CD'],"['1 x 8-Pin, 1 x 6-Pin']",['2-way NVIDIA NVLINK'],,['2.5 slot'],['Recommended Power Supply: 650W'],['250W'],,['Yes'],883 (79% Positive)
['1755 MHz'],['EVGA'],['4352'],"['11.89"" x 5.48""']",['NVIDIA'],['Triple Fans'],,"['September 03, 2020']",['DirectX 12'],['3 x DisplayPort 1.4'],['14000 MHz'],"['NVIDIA AnselAdjustable RGB LEDReal-Time Ray TracingNVIDIA GeForce ExperienceNVIDIA HighlightsNVIDIA G-SYNC CompatibleGame Ready DriversMicrosoft DirectX 12 API, Vulkan API, OpenGL 4.5NVIDIA GPU BoostBuilt for EVGA Precision X1Designed for USB Type-C and VirtualLink** In preparation for the emerging VirtualLink standard, Turing GPUs have implemented hardware support according to the ""VirtualLink Advance Overview"". To learn more about VirtualLink, please see http://www.virtuallink.org.EVGA iCX2 Technology19 Power Phases']",,['GeForce RTX 2080 Ti'],['NVIDIA GeForce RTX 20 Series'],['2.2'],['1 x HDMI 2.0b'],['PCI Express 3.0'],['302 mm'],['7680 x 4320'],['352-Bit'],['11GB'],['GDDR6'],['11G-P4-2487-KR'],['4'],['OpenGL 4.5'],['Windows 10 64-bitWindows 7 64-bit'],['1 x USB Type-C'],,['2 x 8-Pin'],,,['2.75 Slots'],['Minimum of a 650-Watt power supplyTwo available 8-pin or 6+2-pin PCIe power dongles'],['250W'],,['Yes'],(34)
['OC Mode: 1740 MHz Gaming Mode: 1710 MHz'],['ASUS'],['2944'],"['10.59"" x 4.49""']",['NVIDIA'],['Single Fan'],['1515 MHz'],"['October 28, 2020']",['DirectX 12'],['2 x DisplayPort 1.4'],['14000 MHz'],"[""NVIDIA TURING: ASUS GeForce RTX graphics cards are powered by the Turing GPU architecture and the all-new RTX platform. This gives you up to 6X the performance of previous-generation graphics cards and brings the power of real-time ray tracing and AI to games.DirectX 12: Power new visual effects and rendering techniques for more lifelike gaming.4K: Step up to the ultimate 4K gaming experience with GeForce RTX and enjoy today's biggest games in amazing detail.Redesigned Shroud improves cooling for multi-card configurations and chassis with limited airflow.Dual-ball Bearing Fan with IP5X Dust Resistance is a larger, quieter, and dust resistant fan that shifts more air.144-Hour Validation Program puts cards through a series of stringent tests to ensure reliability.GPU Tweak II provides intuitive performance tweaking and thermal controls.""]",,['GeForce RTX 2080'],['NVIDIA GeForce RTX 20 Series'],['2.2'],['1 x HDMI 2.0b'],['PCI Express 3.0'],['269 mm'],['7680 x 4320'],['256-Bit'],['8GB'],['GDDR6'],['TURBO-RTX2080-8G'],,['OpenGL 4.5'],,['1 x USB Type-C'],['Accessories:1 x CD1 x Quick Guide'],['6 + 8-pin'],['SLI Ready'],['Turbo'],['2.7-slot'],,['215W'],,['Yes'],(7)
['OC mode: 1740 MHzGaming mode: 1710 MHz'],['ASUS'],['2944'],"['11.80"" x 5.13""']",['NVIDIA'],['Triple Fans'],['1515 MHz'],"['October 07, 2020']",['DirectX 12'],['2 x DisplayPort 1.4'],['14000 MHz'],"[""NVIDIA TURING: ROG GeForce RTX graphics cards are powered by the Turing GPU architecture and the all-new RTX platform. This gives you up to 6X the performance of previous-generation graphics cards and brings the power of real-time ray tracing and AI to games.DirectX 12: Power new visual effects and rendering techniques for more lifelike gaming.4K: Step up to the ultimate 4K gaming experience with GeForce RTX and enjoy today's biggest games in amazing detail.Axial-tech Fans feature an all-around better design and IP5X dust resistance.2.7-Slot Design expands cooling surface area by over 20% compared to last gen.MaxContact Technology allows 2X more contact with the GPU chip for improved thermal transfer.Auto-Extreme Technology uses automation to enhance reliability.Super Alloy Power II includes premium alloy chokes, solid polymer capacitors, and an array of high-current power stages to fuel Turing's cores.ASUS FanConnect II equips 2 hybrid-controlled fan headers for optimal system cooling.GPU Tweak II provides intuitive performance tweaking and thermal controls.""]",,['GeForce RTX 2080'],['NVIDIA GeForce RTX 20 Series'],['2.2'],['2 x HDMI 2.0b'],['PCI Express 3.0'],['300 mm'],['7680 x 4320'],['256-Bit'],['8GB'],['GDDR6'],['ROG-STRIX-RTX2080-8G-GAMING'],,['OpenGL 4.5'],,['1 x USB Type-C'],['Accessories:1 x CD1 x Quick Guide1 x ROG Velcro Hook & Loop'],['2 x 8-Pin'],['SLI Ready'],['ROG Strix'],['2.7-slot'],,['215W'],,['Yes'],0 reviews
,['GIGABYTE'],['3072'],"['11.47"" x 6.26""']",['NVIDIA'],['WATERFORCE Water Block'],['1860 MHz'],"['October 10, 2020']",['DirectX 12'],['3 x DisplayPort 1.4'],['15500 MHz'],['Powered by GeForce RTX 2080 SUPERIntegrated with 8GB GDDR6 256-bit memory interfaceWATERFORCE Water Block cooling system7 Video OutputsRGB Fusion 2.0 - synchronize with other AORUS devicesMetal Back Plate with RGB AORUS LOGO IlluminationBuilt for Extreme Overclocking 12+2 Power Phases'],['ATX'],['GeForce RTX 2080 SUPER'],,,['3 x HDMI 2.0b'],['PCI Express 3.0 x16'],['291 mm'],['7680 x 4320 @ 60 Hz'],['256-Bit'],['8GB'],['GDDR6'],['GV-N208SAORUS WB-8GC'],['4'],['OpenGL 4.5'],,['1 x USB Type-C (support VirtualLink)'],['Accessories:AORUS metal stickerQuick guideI/O guideDriver CDWater Block installationThermal grease'],['2 x 8-Pin'],['2-way NVIDIA NVLINK'],['AORUS'],['Dual Slot'],['Recommended Power Supply: 650W'],['250W'],,['Yes'],(8)
,['GIGABYTE'],['3072'],"['10.51"" x 5.39""']",['NVIDIA'],['WATERFORCE Water Block'],['1845 MHz'],"['October 22, 2020']",['DirectX 12'],['3 x DisplayPort 1.4'],['15500 MHz'],['Powered by GeForce RTX 2080 SUPERIntegrated with 8GB GDDR6 256-bit memory interfaceWATERFORCE Water Block cooling systemRGB Fusion 2.0 - 16.7M color synchronize with other AORUS devicesMetal Back Plate'],['ATX'],['GeForce RTX 2080 SUPER'],,,['1 x HDMI 2.0b'],['PCI Express 3.0 x16'],['267 mm'],['7680 x 4320 @ 60 Hz'],['256-Bit'],['8GB'],['GDDR6'],['GV-N208SGAMINGOC WB-8GD'],['4'],['OpenGL 4.6'],,,['Accessories:Quick guideDriver CDWater Block installationThermal grease'],"['1 x 8-Pin, 1 x 6-Pin']",['2-way NVIDIA NVLINK'],,,['Recommended Power Supply: 650W'],['250W'],,['Yes'],17 (82% Positive)
